,id,titre,objet,adrs,dept,region,social_object1_libelle,social_object2_libelle,facebook_url,helloasso_url
664,W771012279,ENTENTE KAMER DE MEAUX (EKAM),"recenser tous les compatriotes dans les villes afin d'apporter une aide substantielles en cas de problème dans les hôpitaux, écoles, accès en aux potable, dans la région les plus pauvre du Cameroun donc les médicaments et matériel sont pressants et bien visible",6 rue beaumarchais 3eme etage appartement 431 77100 meaux,Seine-et-Marne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,https://www.facebook.com/EscMeaux77100/,https://www.helloasso.com/associations/les-ailes-du-pays-de-meaux
665,W771012780,ASSOCIATION DIASPORA MULTISPORT EVENTS,"créer un échange entre les différentes associations sportives en France et au Cameroun ; créer, une animation autour du sport : une passion ardente pour la pratique de nos disciplines sportives, un esprit de communion et de convivialité, une attitude de respect, d'entraide et de solidarité mutuelle entre pratiquants ; promouvoir et développer nos disciplines sportives ; collecter du matériel afin de le redistribuer dans les différentes associations sportives au Cameroun ; récolter des fonds dans le but de financer la rénovation des structures sportives ; faciliter l'intégration des sportifs Camerounais sur le sol français",7 allee du parc 77090 collegien,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,https://www.facebook.com/Association-Diaspora-222124171295716/,https://www.helloasso.com/associations/actions-diaspora
666,W771013109,ASSOCIATION KEKEM FRANCE,réunir Les ressortissants Camerounais ou autres ; promouvoir les activités culturelles Africaines en France et à l'étranger ; promouvoir les échanges interculturels entre les différents peuples participer à la mise en oeuvre des projets de développement en Afrique ; faciliter l'intégration des ressortissants Africains en France,4 rue du professeure de clair 77610 marles enceinte brie,Seine-et-Marne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,https://www.facebook.com/people/Association-ressortissants-KEKEM-non-residants-du-cameroundiaspora/100064713875079/,https://www.helloasso.com/associations/k-france
667,W771013507,"ASSOCIATION SOBAAKU  (AMITIÉ EN FULANI, LANGUE PEULH)","permettre par tous les moyens légaux, selon les législations en vigueur dans les pays membres de l'union Européenne et au Cameroun, la valorisation de l'éducation dans la région de l'Adamaoua (Ngaoundéré, Cameroun) ; favoriser les liens, les échanges humanitaires, éducatifs et culturels entre l'Europe et le Cameroun, en apportant aide, soutien et assistance au développement intellectuel des jeunes scolarisés ou en âge d'être scolarisés",1 place charles pathe 77680 roissy-en-brie,Seine-et-Marne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,https://www.facebook.com/Sobaaku/,https://www.helloasso.com/associations/association-amitie
668,W771013694,"AFRIQUE SOLIDARITE, UN ESPOIR, UN SOURIRE","regrouper les ressortissants Africains général et Camerounais en particulier, en vue de resserrer leurs liens socioculturels en luttant contre toute forme de discrimination ethnique,
d'aider et d'apporter une assistance bénévole aux cantons dudit continent et pays, dans la perspective d'un développement social et économique durable, notamment dans le domaine de l'éducation, santé, culturel et social ;",1 cour2 du tage 77700 serris,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,https://www.facebook.com/unespoireunsourire/,https://www.helloasso.com/associations/solidarite-afrique
669,W771018180,MUAYE MUA AFRICA (LUMIERES D'AFRIQUE),"L'apprentissage des musiques traditionnelles et modernes d'AFRIQUE, du Cameroun en particulier avec l'ambition de le mettre à la portée de tous, participant ainsi au dynamisme culturelle musicale, la promotion de la musique et du chant par des échanges culturels en Afrique, en France ou dans un cadre mondial, la diffusion du patrimoine de musique moderne et traditionnel de l'Afrique par des manifestations culturelles, notamment sous la forme de concerts avec, le cas échéant, des solistes et des instrumentistes bénévoles, toutes autres activités culturelles ou de loisirs favorisant l'épanouissement de la vie collective et musicale de ses membres et des membres bénévoles ainsi que des enfants, contribuer et améliorer des conditions de vie de l'enfant et de la famille en leur offrant des moyens de construire leur avenir.",55 avenue henri barbusse 77360 vaires-sur-marne,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,https://fr-fr.facebook.com/associationLumieredafrique/,https://www.helloasso.com/associations/lumieres-d-afrique
670,W771018284,BRIGADE ANTI SARDINARDS,"- D'encadrer les primo arrivants
- D'apporter le soutien nécessaire à toute personne éprise de libertés, protéger et  promouvoir le droit de l'homme,
- De contribuer à la valorisation de la culture camerounaise et celle des pays accueillants
- De défendre et promouvoir les droits et libertés des Camerounais et des personnes d'origine Camerounaise
- De lutter contre la Corruption et l'enrichissement illicite",15 rue du village de la foret 77181 courtry,Seine-et-Marne,Île-de-France,DÉFENSE DE DROITS FONDAMENTAUX/ ACTIVITÉS CIVIQUES,AUTRES,https://www.facebook.com/BrigadeAntiSardinardsFrance/,https://www.helloasso.com/associations/brigade-de-protection-animale/collectes/cagnotte-bpa-avec-rtl
671,W771018383,ASSOCIATION POUR LA PAIX ET L'ABONDANCE EN AFRIQUE APAA FRANCE,"le soutien financier, matériel et promotionnel en France de A ; P ; A ; A ; Cameroun (Association pour la Paix et l'Abondance en Afrique - Cameroun) , dont le but est de participer aux actions visant à l'amélioration de l'éducation, de la santé, des conditions de vie, des populations urbaines et rurales et à la lutte contre la pauvreté",32 avenue de coulombs 77840 crouy-sur-ourcq,Seine-et-Marne,Île-de-France,DÉFENSE DE DROITS FONDAMENTAUX/ ACTIVITÉS CIVIQUES,AUTRES,https://www.facebook.com/APAA2016/,https://www.helloasso.com/associations/association-pour-la-paix-et-l-abondance-en-afrique
672,W771019213,M.P.A.D.D MBIDAMBANI POWER ASSOCIATION DEVELOPPEMENT DURABLE,"creer développer promouvoir et soutenir toute initiative économique culturel social nécessaire au développement des populations défavorisées dans les zones rurales au Cameroun ; encourager la création des activités économiques solidaire au développement et social ; developper des actions humanitaires au profit des populations défavorisées dans les zones rurales au Cameroun , soutenir les enfants défavorisés au Cameroun à travers des aides matérielles qui répondent aux besoins de première nécessité",35 rue de torcy 77360 vaires-sur-marne,Seine-et-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,https://www.facebook.com/groups/2588100314841682/,https://www.helloasso.com/associations/m-p-a-d-d-mbidambani-power-association-developpement-durable
673,W771019243,"CRECLE SOLIDARITÉ EXTENTA ""C.S.E""","-L'entraide et la solidarité entre les membres de la FAMILLE NGOUMOU-NGUELE de par le monde et principalement en France et au Cameroun ;
-uvrer pour le développement économique solidaire de nos communes et régions et être des membres actifs pour la protection de l'environnement ;
-Aider par l'éducation et la formation les personnes en difficulté, contribuer à l'amélioration de leurs conditions de vie en mettant un accent sur le développement leur autonomie personnelle professionnelle et sociale ;
-Tous objets similaires ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement ;",19 residence du beau site 77400 lagny-sur-marne,Seine-et-Marne,Île-de-France,ENVIRONNEMENT/  CADRE DE VIE,AUTRES,https://www.facebook.com/Cercle-de-solidarit%C3%A9-102442998014506/posts/,https://www.helloasso.com/associations/association-1000-jours-ensemble/evenements/cercle-de-grands-parents
674,W771020020,ALLIANCE DES NOBLES DU NDE DE LA DIASPORA,"rassembler les fils et filles majeurs (es) , des conjoints (es) des filles et fils des treize groupements du département du NDE de la Région Ouest du Cameroun résidant en France
Ses objectifs :
- l'entraide entre les membres ;
- Soutient scolaire aux enfants en situation difficile
- aide à la formation professionnelle des personnes en situation difficile
- aide aux soins médicaux ;",132 rue des foulons 77120 mouroux,Seine-et-Marne,Île-de-France,DOMAINES DIVERS/ DOMAINES DE NOMENCLATURE SITADELE À RECLASSER,AUTRES,https://www.facebook.com/groups/632891433424583/,https://www.helloasso.com/associations/association-conif/collectes/fonds-de-solidarite-de-la-diaspora-nigerienne-de-france
675,W772000643,SOLIDARITE ENFANTS DESHERITES ILE-DE-FRANCE - SEDIDEF,Soutenir l'action de l'orphelinat Anawim Yahwé de Bafoussam (Cameroun) et subvenir aux besoins éventuels des enfants qu'il accueille,191 rue des rabats 92160 antony,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,SANTÉ,https://fr-fr.facebook.com/Solidarit%C3%A9-pour-l%C3%89panouissement-des-Enfants-d%C3%A9sh%C3%A9rit%C3%A9s-110608883667745/,https://www.helloasso.com/associations/solidarite-enfants-atakora/
676,W772002517,ASSOCIATION SOURIRE UNIVERS,"venir en aide aux enfants et adultes démunis,aux écoles et centre de santé du village Bonedjang Akwa Douala au Cameroun en apportant un soutien moral ,physique et matériel",417 rue des pieces de lugny 77550 moissy-cramayel,Seine-et-Marne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,https://www.facebook.com/associationSourire16/,https://www.helloasso.com/associations/association-sourire
677,W772004411,ALTERNATIVE SOLIDARITE,"promouvoir le développement socioculturel, la formation scolaire, l'éducation et la santé dans les villes et villages d'Afrique, et en particulier au Cameroun; mobiliser les ressources nécessaires pour entreprendre le développement et l'épanouissement de la jeunesse",631 residence de la bretagne 77190 dammarie-les-lys,Seine-et-Marne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,https://www.facebook.com/groups/2185288115108498/,https://www.helloasso.com/associations/begles-alternative-solidaire
678,W772004633,JE PARLE LE BASSA 2 POINT 0,"promouvoir la langue bassa, Cameroun; l'objectif étant de sensibiliser la population sur la promotion et la préservation des langues nationales africaines",450 rue de la faisanderie 77176 nandy,Seine-et-Marne,Île-de-France,ACTION SOCIOCULTURELLE,AUTRES,https://www.facebook.com/bassa2.0/,https://www.helloasso.com/associations/association-fmjp2-com/evenements/janvier-2023-formation-a-l-intercession-prophetique
