id,objet,adrs,dept,region,social_object1_libelle,titre,facebook_url,helloasso_url
W912001707,"faire connaître le peuple Sawa Duala à travers ce qu'il a fait, notamment dans l'ensemble des traits distinctifs qui le caractérisent : l'environnement, les arts, les lettres, le mode de vie, la musique, le chant, la danse, l'habillement ; rassembler, créer, réactualiser, diffuser au plus grand nombre, des faits culturels Sawa ; créer des lieux de réflexion, d'enseignement et de débats autour du patrimoine Sawa ; favoriser des échanges entre différents sites, association des détenteurs de savoirs oraux Sawa du littoral Camerounais ; apporter son soutien aux actions conduites dans les différents pays où résident des Sawa",24 rue paul claudel 91000 evry,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),A.V.E.C. DUALA (AGIR POUR VALORISER ET ECHANGER EN CULTURE DOUALA),not found,not found
W912003109,encourager l'accès à la santé et à l'éducation des populations défavorisées au Cameroun,9 rue liberal bruant 91210 draveil,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION POUR LA PROMOTION DE LA SANTE ET DE L'EDUCATION  ( APPROSANED),not found,not found
W912003229,"maintenir des liens familiaux existant entre tous les originaires et/ou parents d'originaires de Messok (Sangmélima) Cameroun ; solidarité, entraide et fraternité",17 rue gabriel peripherique 91330 yerres,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION MESSOK A L'ETRANGER (AMAE),not found,not found
W912003450,"solidarité internationale à caractère philantropique et laïque en partenariat avec Bogso ( village situé dans département du Nyong et Kelle au Cameroun) en favorisant mise en oeuvres d'échanges durables dans domaines:  éducatif, socio-culturel, socio-économique et sanitaire; elle s'attache à encourager implication de jeunesse du monde à tous les niveaux",5 avenue fernand leger 91390 morsang-sur-orge,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION BOGSO TERRE D'AVENIR,not found,not found
W912003475,"rencontre régulière des adhérents particulièrement du centre Cameroun (Mefou-Afamba) résidant en France et en Europe ; participer à la lutte contre les inégalités dans l'éducation et le cursus scolaire et universitaire de nos jeunes ; rechercher des partenaires pour le développement et la réalisation des projets communautaires, l'amélioration des conditions de vie de ses adhérents en Europe et des populations locales du Cameroun ; promotion et recherche des voies et moyens pour le bien-être de ces populations, dans le domaine sanitaire, culturel et économique",7 place du parc aux lievres 91000 evry,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),UNIRA - ASSOCIATION,not found,not found
W912003488,récolte fonds pour  réalisation de forages (création de puits d'eau) au Cameroun dans province de l'ouest à Bangangté et dans villages alentours,3 square du port aux dames 91170 viry-chatillon,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,UNE GOUTTE D'EAU EN AFRIQUE,https://www.facebook.com/people/Une-goutte-deau-en-Afrique/100070542526551/,not found
W912003503,"en Europe (France) : lutter contre l'illettrisme ; apporter un soutien aux familles en difficutés socioculturelles et éducatives ; mener des actions en faveur de la parentalité ; mobiliser ressources et moyens, à travers des campagnes de sensibilisation ; participation à des kermesses, expositions, journées culturelles ; En Afrique (Congo) : mener des actions de sensibilisation et de prévention, dans le cadre de l'hygiène sanitaire et sociale en développant des actions de lutte contre la pandémie du VIH Sida, maladies sexuellement transmissibles ; distribution de préservatifs, seringues ; promouvoir la création de centres de santé ruraux ; contribuer à la formation du personnel ; animer des sessions à l'initiation  la langue française ; partenariat avec différents pays : RDC, Cameroun, Congo Brazzaville, Togo, Côte d'Ivoire, Mali, Guinée Conakry, Sénégal, Bénin et bien d'autres pays accessibles et sensibles à nos actions de solidarité, de développement et de biodiver",33 rue de la serpente 91350 grigny,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATION MASAMBA DIMBA LANDU (MADILA),not found,not found
W912003663,"participer aux débats d'idées, développer une réflexion   prospective, de faire des propositions concrètes pour le débat démocratique au Cameroun et de faire un appel de fonds pour le financement du candidat Jean Blaise Gwet à la magistrature suprême au Cameroun ; il est affilié au mouvement patriotique pour le changement au Cameroun (mpcc) qui à pour objet de concourir à l'expression du suffrage universel dans le respect des valeurs de la république, paix, travail, patrie des principes fondamentaux consacrés par la constitution, de l'unité et de l'indépendance de la nation",2 square surcouf 91350 grigny,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),LE CLUB DES AMIS DE JEAN GWET  ( LE CLUB JBG ),not found,not found
W912004916,"recherche,étude,protection et promotion de la culture et des traditions du peuple Bamileke du Cameroun",30 place du moulin a vent 91130 ris-orangis,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),"CENTRE DE RECHERCHES DES INSTITUTIONS BAMILEKE, BAMI CLUB - CRIB & BAMI CLUB",not found,not found
W912005513,"participer au développement du village de Ngwaté, Cameroun ;  réhabiliter l'école du village en rénovant les bâtiments, en apportant des fournitures scolaires ; créer une bibliothèque ; creuser un puits pour l'alimentation en eau potable ; créer un dispensaire ; initier des projets de culture et d'élevage dans le cadre du développement durable",15 rue des glaises 91800 boussy-saint-antoine,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,LES ENFANTS DE NGWATE,https://www.facebook.com/AssociationLesEnfantsDeNgwate/,not found
