,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
1743161,W923002582,U.E.B.C JERUSALEM BOULOGNE,"la pratique du culte et la célébration des cérémonies, de subvenir aux frais, à l'entretien et à l'exercice public du culte selon le rite défini par le saintes écritures, d'éveiller, de rassembler de sensibiliser d'évangéliser et d'intéresser tous les camerounais de france et d'europe sans distinction de confession à l'évangile et au salut dont le seul fondement est jesus christ, de dire l évangile en notre langue camerounaise, d'édifier les membres et de former notre jeunesse selon la pratique des églises chrétiennes camerounaises de nouer des rapports constructifs et de bonne compréhension avec d'autres églises et assurer des liens de convergence entre fidèles de toutes confessions de fédérer même avec elles dans la mesure du possible de promouvoir en toutes circonstances une action humanitaire et socio culturelle afin de lutter efficacement contre la misère morale et matérielle",29,SQ,des Moulineaux,92100,Boulogne-Billancourt,,A,29 SQ des Moulineaux 92100 Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.2521765,48.8285139
1743443,W923002864,LES AMIS DU VILLAGE,"regrouper les jeunes camerounais(es) sans distinction de races et de religions, solidifier les liens de fraternité et d'altruisme entre les membres et promouvoir la reconversion des mentalités",6,SQ,Bugeaud,92360,Meudon,,A,6 SQ Bugeaud 92360 Meudon,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2345179,48.7868249
1743491,W923002912,ASSOCIATION DES CAMEROUNAIS DIPLOMES DE L'ECOLE POLYTECHNIQUE,"encourager et favoriser l'excellence auprès des étudiants camerounais, faciliter l'accès à l'information de personnes attachées au cameroun sur les opportunités non politiques existant au cameroun et à l'étranger, assurer l'information de ses membres sur le contexte économique, social, environnemental, historique etc de la république du cameroun et assister moralement et financièrement ses membres en cas de force majeure (décès, maladie etc)",184 bis,AV,de Verdun,92130,Issy-les-Moulineaux,,A,184 bis AV de Verdun 92130 Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.2437825,48.8188985
1744626,W923004047,SOLIDARITE CAMEROUNAISE,apporter a ses membres dans un esprit de solidarité des informations dans tous les domaines,114,AV,andré morizet,92100,Boulogne-Billancourt,,A,114 AV andré morizet 92100 Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,INFORMATION COMMUNICATION,AUTRES,2.2305995,48.8398801
1745051,W923004475,PROTECTION AFRIQUE SANTE,"l'association protection afrique santé a pour objet principal d'apporter une aide matérielle et un soutien aux personnes dans le besoin en afrique et plus particulièrement au cameroun, notamment aux travers de liens étroits avec le centre de santé saint christophe, se trouvant à yaoundé ahala ii, afin d'améliorer la qualité des soins de santé des populations défavorisées des zones rurales ; pour ce faire, nous nous fixons les buts suivants : collecter les médicaments, collecter le matériel déclassé des hôpitaux auprès des centres hospitaliers et d'autres associations, collecter des vêtements, des jouets, des livres, et tout objet pouvant venir en aide ; d'acheminer en afrique les collecte, ensuite, de favoriser les échanges professionnels entre le personnel médical africain et européen ; de contribuer à sensibiliser les populations africaines, notamment, les plus défavorisées à la fréquentation des centres de santé",150,AV,de Verdun,92130,Issy-les-Moulineaux,protectionafriquesante.com,A,150 AV de Verdun 92130 Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2437825,48.8188985
1745444,W923004869,ESPACE CULTUREL CAMEROUNAIS,la valorisation du riche patrimoine culturel et historique,13,ALL,marcelin Berthelot,92100,Boulogne-Billancourt,,A,13 ALL marcelin Berthelot 92100 Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,AUTRES,2.2328327,48.8424893
1745468,W923004893,D.R.C- D- RUGBYMEN CAMEROUNAIS,"""promotion du rugby camerounais a travers le monde;promotion""",1,RUE,des Anciens Combattants,47510,Foulayronnes,,A,1 RUE des Anciens Combattants 47510 Foulayronnes,Lot-et-Garonne,Nouvelle-Aquitaine,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,AUTRES,0.6462387,44.2380853
1745856,W923005281,GENERATION CAMEROUNAISE DE FRANCE,"l'entraide, la solidarité et la promotion des valeurs culturelles entre ses membres de france qinsi que la réalisation des projets d'ordre éducatif, culturel et d'ouvres sociales en faveur des couches défavorisées au cameroun",22 bis,RUE,du docteur Vuillième,92130,Issy-les-Moulineaux,,A,22 bis RUE du docteur Vuillième 92130 Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2471096,48.8198914
1745965,W923005390,ASSOCIATION MVOG ATANGANA MBALLA DE FRANCE (MAM),"rassembler la grande famille mvog-atangana mballa vivant en france afin de raffermir et de consolider les liens de fraternité et de solidarité qui doivent les unir, par ailleurs elle se doit également d'entretenir et d'intensifier les relations d'entraide avec la grande famille mvog-atangana mballa au cameroun notamment en menant des réflexions sur des projets de développment socio-économique conduisant à l'épanouissement de chaque membre",158,,grande rue,92310,Sèvres,,A,158  grande rue 92310 Sèvres,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2140351,48.8247556
1746063,W923005488,BONASSAMA PERLE NOIRE,"aide aux enfants du village bonassama, cameroun, scolarité et santé",1,SQ,Bugeaud,92360,Meudon,,A,1 SQ Bugeaud 92360 Meudon,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.2345179,48.7868249
