,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
5359,W012002482,TRAIT D'UNION FRANCO CAMEROUNAIS,"favoriser le développement économique, culturel et social en zone rurale camerounaise",62,RUE,de la Ramassière,1600,Reyrieux,,A,62 RUE de la Ramassière 1600 Reyrieux,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.8221733,45.9369164
10200,W012007337,LA MAIN TENDUE (LMT),"promotion des actions et expériences locales de développement dans les régions centre et sud du cameroun ; ces actions sont ciblées sur des micro-projets dans les domaines suivants : l'éducation, le médico-social, les infra-structures de petites dimensions, la communication entre partenaires via les réseaux locaux ; l'objectif de l'association est d'enraciner son action dans des initiatives locales à tous niveaux : création, réalisation puis gestion",20 bis,RUE,de Lyon,1800,Meximieux,,A,20 bis RUE de Lyon 1800 Meximieux,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.191291,45.9027163
11259,W012008396,ASSOCIATION BIA-BIA (A.B.B.),promouvoir l'intérêt général des villages camerounais ; participer à leur développement culturel et scolaire ; rechercher des partenaires pour aider les populations défavorisées du cameroun ; renforcer les relations de solidarité entre membres ; apporter à tous les membres une aide morale et ou financière en cas de deuil.,,,,1340,Marsonnas,,A,1340 Marsonnas,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.0718348,46.3408621
12172,W012009309,SOLIDARITE BRESSANE CAMEROUNAISE (SBC),"solidarité et entraide par l'assistance de ces membres en cas d'évènements heureux (mariage, naissance) ou évènements malheureux (perte d'un être cher) ; l'aide à l'intégration sociale et professionelle de personnes dans le besoin et particulièrement des immigrés d'origine camerounaise, par un soutien dans leurs démarches administratives, l'apprentissage de la langue française, insertion professionnelle, orientation scolaire et formation professionnelle ; une assistance et une entraide internationale par information des femmes et des jeunes femmes sur la sexualité, les moyens de contraception, l'avortement, les maladies sexuellement transmissibles, l'adoption et ses conséquences ; aide pour les enfants en détresse tels que les orphelins ou enfants abandonnés ; conséquences de l'alcoolisme ; aide sociale au développement par la création de microentreprises, l'accès à l'eau potable par la construction de puits d'eau ; pourra procéder à des activités économiques afin de récolter des fonds",2,RUE,Lalande,1000,Bourg-en-Bresse,,A,2 RUE Lalande 1000 Bourg-en-Bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.2233504,46.2045091
12436,W012009573,ASSOCIATION TREMPLINGALLE - KAMKA,"faire participer l'immigration d'origine africaine à l'action citoyenne ; mener des actions culturelles qui favorisent la rencontre, le débat, la réflexion ; créer des ateliers de cuisine, couture ou peintures africaines ; organiser des collectes de biens utiles à la population à la charge de l'association ; en afrique : création au cameroun des centres d'accueil, de soutien et de formation pour la jeunesse et personnes en difficulté (abandon, veuvage, maltraitance, délinquance) ; la recherche en europe des fonds et des équipements pour le fonctionnement des centres",2,BD,Irène Joliot Curie,1000,Bourg-en-Bresse,,A,2 BD Irène Joliot Curie 1000 Bourg-en-Bresse,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.232158,46.209581
12594,W012009731,NYALA,"créer et faire vivre un centre d'accueil à nyala au cameroun pour que les enfants défavorisés y reçoivent l'éducation nécessaire pour pouvoir évoluer sereinement dans leur pays ; promouvoir, assurer et organiser des actions de soutien et de secours,de faciliter l'éducation, l'insertion sociale et professionnelle ; rechercher des partenaires avec toutes les personnes physiques ou morales désireuses d'aider d'une manière ou d'une autre ces personnes défavorisées.",,,"2, rue de la République",1000,Bourg-en-Bresse,,A,"2, rue de la République 1000 Bourg-en-Bresse",Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.226791,46.2034087
12937,W012010074,ACTIONS SOLIDAIRES POUR AUDREY (ASPA),"prise en charge des soins et traitements de l'enfant audrey choudjuem né en 2000, handicapé psychomoteur, habitant à bonabéri, douala (cameroun) ; participer financièrement, conjointement à sa mère, à toute action lui permettant de se développer physiquement, psychologiquement et affectivement ; participer financièrement à l'amélioration de ses conditions de vie, à son domicile et au sein d'une structure d'accueil éducatif, au moyen de dons, cotisations, collectes et ventes de produits",27,RUE,Lulli,1000,Saint-Denis-lès-Bourg,www.actions-solidaires-pour-audrey.blogspot,A,27 RUE Lulli 1000 Saint-Denis-lès-Bourg,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.2002,46.194841
15154,W013000025,ASSOCIATION DU GROUPE SCOLAIRE ANYENG,"formation et éducation des jeunes et des adultes, et notamment la création et la gestion de tous établissements scolaires privés, primaires et secondaires, de tous centres ou locaux culturels ou sportifs annexes à cet objet, ainsi que tout ce qui, directement ou indirectement permet ou facilite la réalisation de son objet notamment la prise à bail ou l'acquisition de biens en vue de l'exercice de son objet ; l'association réalise son objet dans la région de yaoundé/cameroun par la gestion du groupe scolaire anyeng (semence)",331,CHEM1,de Tir-Mir,1220,Divonne-les-Bains,,A,331 CHEM1 de Tir-Mir 1220 Divonne-les-Bains,Essonne,Île-de-France,ÉDUCATION  FORMATION,AUTRES,6.143049,46.3570916
15213,W013000084,DIVERSITE ET PROJECTION,"promouvoir l'espace culturel, au travers des danses folkloriques africaines et particulièrement camerounaise titre d'exemple : bikutsi, baya, essewe, assiko, ben skin et ce dans un esprit d'échange",7,CHEM1,du levant,1220,Divonne-les-Bains,,A,7 CHEM1 du levant 1220 Divonne-les-Bains,Essonne,Île-de-France,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,AUTRES,6.143049,46.3570916
15299,W013000170,"DROIT D'EDUCATION, ACCES A LA SANTE POUR TOUS",aider les enfants mineurs au cameroun d'avoir droit à l'école et accès à la santé pour leur avenir,,,,1210,Ferney-Voltaire,,A,1210 Ferney-Voltaire,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,6.1076131,46.2555744
15513,W013000384,NDA BOAN,subvenir aux besoins scolaires et sanitaires de enfants nada boan ; favoriser l'échange et le dialogue franco-camerounais entre les enfants et les familles ; sensibiliser aux besoins de solidarités,429,RUE,de l'Europe,1630,Saint-Genis-Pouilly,,A,429 RUE de l'Europe 1630 Saint-Genis-Pouilly,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,6.0361489807886715,46.242757499999996
16576,W013001551,ASSOCIATION JOIE DE VIVRE VILLAGE D ENFANTS CAMEROUN,"l'association a pour but de lutter contre la détresse des enfants orphelins, handicapes et de tout mettre en oeuvre a fin que chaque enfants puisse mener une vie décente qu'elle que soit sa situation sociale",177,RUE,du Commerce,1170,Gex,,A,177 RUE du Commerce 1170 Gex,Essonne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,6.0574096,46.3334517
18294,W014001386,NGON MELANG,venir en aide aux communautés défavorisées du cameroun,232,RUE,du Muret,1200,Châtillon-en-Michaille,,A,232 RUE du Muret 1200 Châtillon-en-Michaille,Essonne,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,5.781965,46.11865
19959,W021001125,CAMEROUN-FRANCE,"faciliter les rencontres entre français et camerounais ; connaître les besoins des uns et des autres ; assister à chaque fois que cela est nécessaire les personnes ou groupes de personnes dans leur vie quotidienne ; répondre aux besoins concernant : l'aide à l""éducation populaire, l'aménagement et le développement local, l'environnement la protection et l'amélioration du cadre de vie, la culture et le patrimoine local, les biens et l'artisanat, les relations internationales, le tourisme",11,PL,Aristide Briand,2130,Fère-en-Tardenois,,A,11 PL Aristide Briand 2130 Fère-en-Tardenois,Hauts-de-Seine,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,3.5136854930866592,49.202443599999995
23389,W022002351,AEDENYS/MIMETALA VILLAGE,aide à l'enfance défavorisée et au développement communautaire des paysans du cameroun sans distinction de race ou de groupe ethnique ; amélioration des conditions de vie et respect des droits de l'enfance définis par la convention internationale des droits de l'enfant du 20 novembre 1989 ; toutes autres formes d'aide humanitaire,5,RUE,du Garet,69001,Lyon,,A,5 RUE du Garet 69001 Lyon,Rhône,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.8368936,45.7670703
24323,W022006391,ASSOCIATION DES INGÉNIEURS ET INFORMATICIENS CAMEROUNAIS D'ALLEMAGNE - FRANCE / VEREIN KAMERUNISHER INGENIEURE UND INFORMATIKER - FRANCE,"réaliser des études de faisabilité des projets des membres vkii (france et allemagne) ; accompagner et assister le bureau vkii (allemagne) et ses membres dans la
réalisation de leurs projets ; organiser des séminaires et des séances de renforcement des capacités ; promouvoir l´entreprenariat et l´innovation en france ; promouvoir l´entraide et l´épanouissement (social, physique, matériel, financier etc) de ses membres ; promouvoir les relations franco-allemandes",23,BD,Gambetta,2700,Tergnier,,A,23 BD Gambetta 2700 Tergnier,Hauts-de-Seine,Île-de-France,REPRÉSENTATION/ PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES,AUTRES,3.293025,49.653981
27608,W024000683,MIL ET BLE,"accompagner, soutenir et promouvoir le projet agricole, en particulier l'agriculture, l'alimentation et la nutrition au sein du centre de promotion humaine de tokombéré (cpht) au cameroune, contribuer aux relations nord/sud et sud/sud",1,RUE,de l'Eglise,2220,Cuiry-Housse,,A,1 RUE de l'Eglise 2220 Cuiry-Housse,Hauts-de-Seine,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,3.4904376,49.2968678
32050,W031001508,LES TOUS PETITS,amasser des objets et des dons pour collecter des fonds afin d'entraider des jeunes enfants du cameroun à aller à l'école publique,,,,3350,Le    Brethon,,A,3350 Le    Brethon,Seine-Saint-Denis,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.7175178,46.5713692
36605,W032002556,ASSOCIATION AIDE AUX BAKAS PYGMEES DU CAMEROUN,"venir en aide à ce peuple bakas qui vit dans la forêt équatoriale, par des aides matérielles, sanitaires et scolaires",5/7,IMP,Dieudonné Coste,3000,Moulins,,A,5/7 IMP Dieudonné Coste 3000 Moulins,Seine-Saint-Denis,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,3.6847,49.4217
45079,W043001413,ASSOCIATION PETITE THERESE,collecte de fonds pour permettre au pere marie-benjamin metsama de realiser au cameroun ses oeuvres missionnaires..,,,,4000,Digne-les-Bains,,A,4000 Digne-les-Bains,Val-de-Marne,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,6.2351431,44.0918144
47335,W044000929,ASSOCIATION DE SOUTIEN ET D'AIDE AU DEVELOPPEMENT POUR BAFIA (ASAB),"échange, connaissance et reconnaissance réciproque, dans le cadre du jumelage de volx et bafia au cameroun, promouvoir, dans une perspective de développement d'économie durable et non polluante, toutes opérations ayant pour objectifs d'améliorer les conditions matérielles dans les domaines sanitaires, sociales, éducatifs et culturels, initier, réaliser, accompagner en régie propre et/ou en partenariat avec diverses personnes, techniciens et/ou industriels clairement identifiés et respectant les droits de l'homme et de l'enfant, des temps des lieux et des moyens de formation initiale et/ou continue permettant le fonctionnement et la maintenance de toute installation technique, créer un réseau de personnes, de groupes, d'associations et collectivités locales et/ou régionales, éducatives, sociales, économiques et culturelles, propre à réaliser ces actions techniques matérielles et culturelles, centraliser, les demandes, les offres d'équipements de structures, de formations, les analyser, y répondre en créant une synergie d'informations et de réalisations entre les divers membres de l'association et d'autres partenaires, en collaboration avec l'association addpe à bafia au cameroun, ainsi qu'avec le comité de jumelage de volx",1,PL,des Félibres,4130,Volx,,A,1 PL des Félibres 4130 Volx,Val-de-Marne,Île-de-France,ACTION SOCIOCULTURELLE,AUTRES,5.8423016,43.877235
48335,W044001936,MEKAMNA,"aider les populations, les entreprises du secteur privé et les organismes publics du cameroun, afrique, afin de développer des projets dans les domaines de l'agriculture, la santé, le tourisme, la jeunesse, les sports et l'artisanat tout en respectant l'environnement et les coutumes",775,CHEM1,du mas de Bos à la Font de Rey,30300,Beaucaire,,A,775 CHEM1 du mas de Bos à la Font de Rey 30300 Beaucaire,Gard,Occitanie,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,4.6392648,43.8085436
51017,W051001109,ASSOCIATION DES AMIS DU COLLEGE EVANGELIQUE DE BANGWA,soutenir le collège evangélique de bangwa (cameroun),17,VILL1,Curial,75019,Paris,,A,17 VILL1 Curial 75019 Paris,Paris,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.3200410217200766,48.8588897
53542,W052001700,AFRICOEUR,"faciliter et promouvoir l'entraide et la solidarité intenationale en favorisant les échanges entre les personnes, les familles, en valorisant les aspects positifs de chaque culture, de chaque situation géographique, de chaque contexte socio-économique, principalement dans les relations franco-camerounaises.",,CHEM1,de Pré Lacour,5140,Aspremont,,A,CHEM1 de Pré Lacour 5140 Aspremont,Paris,Île-de-France,ACTION SOCIOCULTURELLE,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,7.2440882,43.7832717
59656,W061002984,LES COLOMBES,"le parrainage des enfants des rues et petites localités de minsee et balmayo du cameroun, afin de leur apporter un épanouissement moral, une formation pour un avenir meilleur",50,AV,du Commandant Bret,6400,Cannes,,A,50 AV du Commandant Bret 6400 Cannes,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,7.0262438,43.5642868
60673,W061004004,NGWEHA CAMEROUN,"promouvoir l'amitié entre les citoyens européens et les citoyens camerounais par le soutien, l'organisation et le développement de toutes activités sociales, sanitaires, éducatives, coopérative et culturelles qui favorisent le développement de villages camerounais en situation précaire du fait de leur éloignement géographique ; l'association est neutre et n'a donc aucun caractère religieux ou politique ; l'association entend réaliser toutes ses actions avec des tiers liées directement ou indirectement à son objet",400,AV,Henri Giraud,6140,Vence,,A,400 AV Henri Giraud 6140 Vence,Indre,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,7.1031547,43.7283401
62078,W061005429,BASSAMBA ASSOCIATION TERRE NATAL,"raffermir les liens entre l'ensemble de la communauté bassamba de l'europe et d'ailleurs conformément à nos valeurs, promouvoir la culture bassamba à travers l'organisation et la participation d'événements culturels, éducatifs et sportifs, participer au développement et l'amélioration des conditions de vie du peuple bassamba (cameroun), établir des relations avec d'autres associations ou organismes dans un cadre de partenariat en vue de développer des projets en faveur de bassamba (cameroun), créer et/ou soutenir le développement et l'amélioration des conditions axées sur l'éducation, l'environnement et la santé à bassamba (cameroun)",1080,CHEM1,des Ames du Purgatoire,6600,Antibes,,A,1080 CHEM1 des Ames du Purgatoire 6600 Antibes,Indre,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,7.10905,43.5836
63246,W061006605,ASSOCIATION  SANITAIRE SOCIALE ET CULTURELLE D'AIDE AU CAMEROUN (ASSCCAM),"aide financière, matérielle et logistique apportée aux populations en détresse dans le domaine de la santé, l'éducation et de l'alimentation ; sensibilisation éducative au et promotion culturelle ainsi qu'un partenariat actif avec les associations et ong locales, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",12,RUE,du Petit Malbrande,74100,Annemasse,,A,12 RUE du Petit Malbrande 74100 Annemasse,Haute-Savoie,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,6.2381323,46.1897096
63403,W061006762,LA BELLE ETOILE FRANCE,"lutter contre la pauvreté, agir pour la coopération au développement, principalement en faveur des populations démunies de côte d'ivoire et d'autres pays du sud (bénin, burkina faso, burundi, cameroun, madagascar, palestine, république démocratique du congo, rwanda, togo), dans l'esprit des actes internationaux sur les droits humains fondamentaux, elle se définie comme une association de solidarité internationale",1304,CHEM1,du Mas Llaro,66000,Perpignan,,A,1304 CHEM1 du Mas Llaro 66000 Perpignan,Pyrénées-Orientales,Occitanie,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.8953121,42.6985304
65583,W061008944,BRIN DE BONHEUR INTERNATIONAL,"recueillir les orphelins et enfants des rues du cameroun afin de leur apporter une aide morale et matérielle leur permettant daméliorer leurs conditions de vie ; notamment ; création dune maison daccueil, aide à la scolarisation, aide à linsertion socioprofessionnelle, suivi de la santé",7,AV,Gazan,6600,Antibes,,A,7 AV Gazan 6600 Antibes,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,7.121932,43.5776473
67258,W061013720,CERCLE D'AMIS DU CAMEROUN (CAC14),"mener des actions caritatives et bénévoles visant à favoriser l'émancipation et le développement de personnes nécessiteuses dans nos pays d'origine, principalement dans le domaine de l'éducation ; améliorer les conditions de travail des élèves pour valoriser leur formation et faciliter leur engagement professionnel ; établir un contact avec des élèves afin de leur apporter une aide précieuse dans l'évolution de leur cursus scolaire et d'étude ou carrière : partager nos expériences et parcours, échanger sur les métiers et l'entreprise, parrainer financièrement et intellectuellement, connecter à un réseau d'entraide ; promouvoir la création de synergies dans le domaine de l'éducation",2,CHEM1,du Vallon des Vaux,6800,Cagnes-sur-Mer,,A,2 CHEM1 du Vallon des Vaux 6800 Cagnes-sur-Mer,Indre,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,7.1513834,43.6612012
68362,W061014830,NOS ENFANTS DE L'AVENIR,"oeuvrer au profit des orphelins du monde, particulièrement le cameroun et des familles en difficultés ;",4,IMP,des Fauvettes,6110,Le    Cannet,,A,4 IMP des Fauvettes 6110 Le    Cannet,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,7.0087204,43.5707625
68453,W061014921,NIYA,"a pour objet de créer, développer, promouvoir et soutenir toute initiative culturelle, économique et sociale nécessaire en provenance du cameroun et principalement de yaoundé ; également des prestations de conseil et accompagnement auprès des particuliers, des entreprises, des collectivités et autres organismes publics ou privés ;  en tant que tel, elle pourra exercer des activités de conseil, de formation ou tout autre prestation de services donnant lieu à la perception d'honoraires ; ainsi que toute opération ou prestation se rattachant directement ou indirectement à l'objet social",40,RUE,Desjobert,6700,Saint-Laurent-du-Var,,A,40 RUE Desjobert 6700 Saint-Laurent-du-Var,Indre,Centre-Val de Loire,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,AUTRES,7.1897565,43.6753455
73530,W062004369,L'ENFANT DES SOURCES,"mettre en place des puits d'eau potable dans les écoles rurales et villages du cameroun afin d'apporter un bien être sanitaire à la population, faciliter la recherche d'eau potable principale tâche réservée aux enfants et aux femmes ; notre désir est de réunir toutes les personnes physiques ou morales désireuses d'apporter leur soutien à la mise en place des puits d'eau potable dans les villages du cameroun",6,RUE,Nathalie Masse,6000,Nice,,A,6 RUE Nathalie Masse 6000 Nice,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,7.2827662,43.71147
73532,W062004371,RIRES ET RONDES ENFANTINES,"mettre en place des prises en charge éducative et sanitaire dans les écoles et zones rurales des villages du cameroun afin d'apporter un mieux être à la population, dans le domaine de la santé (manque de dispensaires ..) et d'améliorer la vie scolaire en sollicitant toutes les personnes physiques ou morales désireuses d'apporter leur soutien",,RUE,Gaston Mouton,6340,La    Trinité,,A,RUE Gaston Mouton 6340 La    Trinité,Indre,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,7.3209561,43.739913
73614,W062004453,SOLIDARITE CAMEROUNAISE EN ABREGE SO.CAM,"rassembler, développer l'entraide et la solidarité entre les ressortissants camerounais de la côte d'azur",2,PONT1,René Coty,6300,Nice,,A,2 PONT1 René Coty 6300 Nice,Indre,Centre-Val de Loire,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,7.2683912,43.7009358
74755,W062005594,"ASSOCIATION ""SOURCE DE VIE""","aide à but non lucratif et humanitaire au suivi socio médico-obstétrical des femmes désoeuvrées et/ou issues des milieux défavorisés au cameroun ; droit à l'accès aux soins pour toutes ayant pour objectif ""taux zéro"" de mortalité materno-foetale et infantile ; dépister et palier aux éventuelles complications pouvant survenir au cours de la grossesse et/ou au moment du partum ; prodiguer des conseils et astuces hygiéno-diététiques pour la santé de la femme enceinte, la mère allaitante et son nouveau-né ; promouvoir la vaccination du nouveau-né ; mettre en évidence les facteurs de risques socioculturels existant chez la femme enceinte ou la jeune mère ; travailler en réseau avec les partenaires sociaux et même les familles pour le suivi optimal de la patiente",3 bis,RUE,Guigonis,6300,Nice,,A,3 bis RUE Guigonis 6300 Nice,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,SANTÉ,7.2783075,43.6983253
74785,W062005624,SOS ENFANTS DE LA RUE,"mettre en place des structures d'accueil, d'éducation et de  protection des enfants abandonnés, recueillis dans la rue au cameroun ; réunir toutes les personnes physiques ou morales désireuses d'apporter leur soutien à la mise en place des structures d'aide à l'enfance, susciter la bientraitance et prévenir la maltraitance de l'enfant au cameroun",6,RUE,Nathalie Masse,6000,Nice,,A,6 RUE Nathalie Masse 6000 Nice,Indre,Centre-Val de Loire,INTERVENTIONS SOCIALES,AUTRES,7.2827662,43.71147
74966,W062005805,ASSECAM (ASSOCIATION DES ETUDIANTS CAMEROUNAIS DES ALPES MARITIMES),"promouvoir une réflexion portant sur la défense des droits et intérêts des étudiants camerounais et franco-camerounais ; contribuer à la réflexion publique sur les questions de la mobilité étudiante, particulièrement celle des étudiants étrangers ; coordonner les actions des membres de l'association des étudiants camerounais des alpes-maritimes (assecam) afin de faciliter l'adaptation scolaire et sociale des étudiants, améliorer leur réussite et leur insertion professionnelles",75,BD,de l'Observatoire,6300,Nice,,A,75 BD de l'Observatoire 6300 Nice,Indre,Centre-Val de Loire,ÉDUCATION  FORMATION,DÉFENSE DE DROITS FONDAMENTAUX/ ACTIVITÉS CIVIQUES,7.2959022,43.7232878
75190,W062006029,"ADAJ ""LES AMIS D'ALBERT JUNIOR""","au cameroun, sensibiliser sur la drépanocytose et la thalassémie majeure, venir en aide aux personnes qui en sont atteintes ; accompagner les enfants des zones rurales du cameroun à accéder à l'éducation et à la santé ; participer aux activités visant à favoriser l'amélioration des conditions de vie des populations locales ; promouvoir des actions de développement dans les domaines culturel, social, éducatif et sanitaire ; en france: proposer des activités pédagogiques, éducatives (devoirs faits, soutien scolaire etc) et culturelles (contes, activités ludiques ou musicales) dans des écoles, hôpitaux, centres éducatifs etc",12,AV,Joseph Giordan,6200,Nice,,A,12 AV Joseph Giordan 6200 Nice,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,SANTÉ,7.2268178,43.6846481
75400,W062006239,APAJ CAMEROUN PACA,"promouvoir, aider dans les pays africains, installation des jeunes en auto entrepreneurs ; par des actions de formation, de transfert de compétences et toutes autres actions nécessaires à ce but ; ces actions permettent à la fois, d'une part, de faire prendre conscience à la jeunesse africaine que leur avenir se situe en afrique, en contribuant au développement de leur pays natal, et d'autre part de contribuer à leur épanouissement personnel",15,AV,Antonia Augusta Bt C,6100,Nice,,A,15 AV Antonia Augusta Bt C 6100 Nice,Indre,Centre-Val de Loire,INTERVENTIONS SOCIALES,AUTRES,7.2683912,43.7009358
78789,W062009628,ASSOCIATION CAMEROUNAISE COTE D'AZUR MONACO,"intervenir dans les domaines de la santé, développement rural, et des loisirs, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",11,BD,de la République,6240,Beausoleil,,A,11 BD de la République 6240 Beausoleil,Indre,Centre-Val de Loire,CLUBS DE LOISIRS/ RELATIONS,AUTRES,7.4257431,43.7434078
78812,W062009651,NLINGA YEMEVONG,"a pour objet le développement de groupes scolaires, centres médicaux, le soutien aux projets sportifs et culturels de la région yemevong (cameroun)",14,AV,des Anthemis,6200,Nice,,A,14 AV des Anthemis 6200 Nice,Indre,Centre-Val de Loire,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,7.2076616,43.6957951
