id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,position,mot_cle
W121000366,ASSOCIATION DES PARENTS DES ELEVES DE L'ECOLE PRIVEE MIXTE DE ROQUEFORT SUR SOULZON,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience, promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés, mettre en oeuvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, adhérer",,,,12250,Roquefort-sur-Soulzon,,A,Ecole
W121000372,ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT-ROME DE TARN,"soutenir par tous les moyens matériels et moraux dont elle dispos, l'école publique de st rome de tarn, dans la mesure de ses ressources, apporter un appui moral et financier à toutes les oeuvres scolaires et post-scolaires d'un caractère purement laïque. dans le concret, le rôle principal de l'association est l'organisation de l'ensemble des manifestations qui se déroulent tout au long de l'année scolaire.",,,,12490,Saint-Rome-de-Tarn,,A,Post
W121000376,ASSOCIATION DES PARENTS D'ELEVES DU GROUPE SCOLAIRE JEAN-HENRI FABRE,"organiser des oeuvres péri-et post-scolaires, financer des activités scolaires, pratiquer toutes activités ayant pour but de faire vivre l'association.",,RUE,Paul Ramadier,12100,Millau,,A,Post
W121000383,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LAVAL ROQUECEZIERE,organiser une dynamique autour de l'école de laval-roquecézière.,,,,12380,Laval-Roquecezière,,A,Ecole
W121000385,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE,"activités extra-scolaires, animation.",,,,12430,Villefranche-de-Panat,,A,Ecole
W121000389,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE EUGÈNE VIALA DE SALLES-CURAN,la participation des parents à la vie associative de l'école publique,,,,12410,Salles-Curan,,A,Viala
W121000391,O.G.E.C. DE L'ECOLE DE CURAN,"dans le respect du droit français d'une part, du statut de l'enseignement catholique en france, des décisions du comité national de l'enseignement catholique, des accords conclus en son sein d'autre part, assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; conformément à l'article 134 du statut de l'enseignement catholique (""l'organisme de gestion a la responsabilité de la gestion économique, financière et sociale d'un ou plusieurs établissement(s) ; il l'exerce conformément aux projets de l'école, aux orientations de l'autorité de tutelle et aux textes internes à l'enseignement catholique ; il contribue à assurer la mise en oeuvre matérielle du projet éducatif ; il est l'employeur des personnels de droit privé"" ; l'ogec peut se livrer à toute activité de gestion se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes leurs formes et d'une manière générale se livrer à toute activité en lien avec son objet principal ; il peut passer convention avec l'etat, les collectivités territoriales ainsi qu'avec tout organisme concourant même partiellement à son objet ; il peut acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance",,,,12410,Curan,,A,Ecole
W121000395,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BROQUIES,"favoriser tout ce qui peut améliorer, ouvrir et enrichir la vie de l'école, avec l'épanouissement des enfants pour centre des préoccupations.",,,,12480,Broquiès,,A,Ecole
W121000411,ARTS CROISES,"créer un centre culturel et artistique vivant, multi-disciplines, multi-médias, ouvert à tous, pour participer au développement culturel de saint-affrique et de sa région.",4,QUAR,Le Claux,12250,Saint-Jean-d'Alcapiès,,A,Ouvert
W121000416,APE ASSOCIATION DES PARENTS D'ELEVES DE L' ECOLE PUBLIQUE JEANNETTE SAMSON DE LAPANOUSE DE SEVERAC,"permettre aux parents d'élèves de propager et défendre l'idéal laïque dépouillé de toute ingérence politique, de se concerter et formuler des voeux sur tout objet concernant les intérêts moraux et matériels de leurs enfants, d'en poursuivre la réalisation, développer des activités culturelles, sportives, sociales, philantropiques, de se cultiver eux-mêmes, d'assurer une liaison permanente entre la direction des établissements, les enseignants, et les parents d'élèves dans une atmosphère de",,RUE,Henri Dunant,12150,Séverac-d'Aveyron,,A,Ecole
W121000423,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE ST-MARTIN LES LAURIERS ROSES,"favoriser et garantir le libre choix de l'école conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants selon leur conscience;
promouvoir le caractère propre de l'enseignement catholique exprimé dans le projet éducatif de l'établissement en collaboration avec ses responsables et les organismes concernés;
mettre en oeuvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national à cet effet l'association adhère à l'apel du département de l'aveyron adhérente à l'apel de l'académie de toulouse elle même membre de l'apel nationale;
réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information;
représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses et plus généralement auprès des tiers;
étudier toutes questions se rattachant à l'éducation des enfants à leurs droit et leurs devoir et ceux de leur famille;
permettre une entraide mutuelle des familles de l'établissement;
participer à la vie de la communauté éducative et la promouvoir dans le respect des compétences de chacun;
apporter son soutien à l'établissement et contribuer à son animation",26,RTE,des Aumières,12100,Millau,,A,Ecole
W121000433,"INTERNATIONALE TAI CHI CHUAN ASSOCIATION, ITCCA DU MILLAVOIS (STYLE YANG ORIGINEL)","diffuser par tous moyens la philosophie et la pratique de tai chi chuan, style yang originel, représenté à londres par maître chu king hung. maintenir la qualité de l'enseignement promu par l'internationale tai chi chuan association du millavois, en choisissant de recevoir l'enseignement d'un membre agréé par maître chu. mettre à disposition des enseignants les moyens de leur formation et de leur engagement au sein d'itcca.",16,RUE,de la Prise d'Eau,12100,Millau,,A,Yang
W121000437,ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT IZAIRE,"créer du lien enfants/famille/équipe enseignante au sein de l'école ; créer des actions générant un bénéfice afin de financer des projets ; les activités périscolaires festives, sportives et/ou culturelles à l'intention des élèves et de leur famille sont déstinées à soutenir l'action éducative de l'enseignant, sans se substituer au rôle pédagogique de celui-ci et à promouvoir l'éveil des enfants",,,,12480,Saint-Izaire,,A,Ecole
W121000439,CONSEIL DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT LAURENT D'OLT,"regrouper l'ensemble des parents d'élèves de l'établissement scolaire, formuler en leur nom des voeux sur tout objet concernant les intérêts moraux et matériels de l'école, des élèves ou de leurs parents, en suivre la réalisation et veiller à leur application. rassembler, présenter ou éditer pour les familles toute documentation relative aux études et débouchés scolaires ou professionnels. propager et défendre l'idéal laïque, promouvoir et faire créer un service public unifié et laïque de l",,,,12560,Saint-Laurent-d'Olt,,A,Ecole
W121000443,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE VEZINS,récolter des fonds mis à disposition de l'équipe éducative et établir des liens entre l'école et les parents.,,,,12780,Vézins-de-Lévézou,,A,Ecole
W121000470,PARENTS D'ELEVES DE L'ECOLE PRIMAIRE DU PUITS DE CALES,gérer les activités scolaires et extra-scolaires.,"150,",IMP,du docteur Barsalou,12100,Millau,,A,Ecole
W121000471,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE LIBRE,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école. toute activité susceptible d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres. l'entente avec toutes associations semblables.",,,,12100,Creissels,,A,Ecole
W121000481,LA GRANGE AUX REVES,"faire vivre le lieu-dit la ferme du moulin de len, et gérer les activités qui s'y déroulent. encourager la culture, la créativité, les activités artistiques et corporelles. proposer un lieu de rencontres ouvert et dynamique. participer à l'effort actuel de développement du sud aveyron. sensibiliser aux médecines douces, au patrimoine, au respect de l'environnement et de la nature. mettre en avant des valeurs telles que la vitalité, le partage, la joie de vivre.",,,,12400,Saint-Affrique,,A,Ouvert
W121000489,AMICALE DES DONNEURS DE SANG BENEVOLES,susciter le don volontaire et bénévole du sang ; inciter au respect du code d'honneur des donneurs de sang bénévoles,"2,",RUE,Saint-Jean,12100,Millau,,A,Sang
W121000505,O.G.E.C. ECOLE PRIVEE LES AMANDIERS,"dans le respect du droit français d'une part, des textes fondamentaux de l'enseignement catholique et des accords conclus en son sein d'autre part, assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente ; se livrer à toute activité se rapportant directement ou indirectement à l'éducation, l'enseignement, la formation et la culture sous toutes ses formes ; à cette fin, pouvoir réaliser toutes activités parascolaires, telles que accueil, transport, hébergement, restauration, mise à disposition de locaux, et d'une manière générale, se livrer à toute activité de quelque nature que ce soit, en lien avec son objet principal ; pouvoir passer convention avec l'etat, les collectivités territoriales ainsi qu'avec tout organisme concourant même partiellement à son objet ; pouvoir acquérir tous les biens nécessaires à la réalisation de son objet ou en avoir la jouissance","2,",PL,du Soulayrol,12100,Saint-Georges-de-Luzençon,,A,Ecole
W121000598,FOYER RURAL DE CENOMES,"aménager dans son périmètre un centre d'aspect plaisant et ouvert à tous. etudier en commun les questions techniques et sociales intéressant la vie rurale, développer l'éducation des milieux ruraux en matière syndicale, mutualiste et coopérative en liaison avec les organismes professionnels, favoriser l'éducation physique et sportive, organiser les loisirs de la collectivité (bibliothèque, conférences, réunions amicales, artistiques, ...), renforcer la solidarité morale des habitants",,,,12360,Montagnol,,A,Ouvert
W121000602,BLANC - SAUVEGARDE - REHABILITATION,"préserver et valoriser le hameau de blanc, sis sur le territoire de la commune de peux et couffouleux. remettre en état ce patrimoine immobilier actuellement à l'abandon, particulièrement l'église et sa sacristie, le cimetière, ainsi que l'environnement proche ; favoriser les recherches scientifiques (historiques, archéologiques,...) concernant le site ; encourager toutes les manifestations de vie auxquelles cet ensemble pourrait servir de cadre et notamment des activités culturelles et touri",,HAME1,de Blanc,12360,Peux-et-Couffouleux,,A,Touri
W121000665,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LA CRESSE,gérer les activités scolaires et extra-scolaires,,,,12640,La Cresse,,A,Ecole
W121000667,BOZENDO SAINT-AFFRIQUE,"l'étude et la pratique d'un art athlétique : la manipulation du bâton long sous la dénomination bozendo, qui peut être assimilé à l'escrime, à la gymnastique ainsi qu'à une des disciplines des arts martiaux, la culture physique sous toutes ses formes",,RUE,des Douze Etoiles,12400,Saint-Affrique,,A,Long
W121000764,MALI ACTION SOLIDARITE - FRANCE,apporter son aide au développement des pays d'afrique de l'ouest,,PL,de l'église,12230,Sainte-Eulalie-de-Cernon,,A,Mali
W121000765,COTRAVAUX MIDI-PYRENEES,"impulser et animer une dynamique régionale sur les pratiques de travail volontaire, développer le travail volontaire associatif dans la région et réfléchir à son éthique, représenter l'expression collective de ses membres auprès des pouvoirs publics et de l'opinion publique, représenter cotravaux en région, rassembler des organismes pour lesquels l'étude et l'exécution de travaux civils d'intérêt général, avec la participation de volontaires sur la base d'un projet pédagogique, soit un poi",,,,12360,Gissac,,A,Midi
W121000773,ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT SEVER,favoriser la scolarité des enfants de l'école de saint-séver,,,,12370,Saint-Sever-du-Moustier,,A,Ecole
W121000774,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE JEAN-HENRI FABRE,organisation et gestion des animations afin de financer des activités scolaires et para-scolaires,,,,12780,Saint-Léons,,A,Ecole
W121000781,AMICALE DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SEGUR,réunir les parents d'élèves afin d'organiser des oeuvres post et péri scolaires,,,,12290,Ségur,,A,Post
W121000789,ASSOCIATION CULTURELLE ET SPORTIVE DES PARENTS ET AMIS DE L'ECOLE PRIMAIRE JULES FERRY,entretenir la vie culturelle et sportive de notre école jules ferry,6,RUE,de la Liberté,12100,Millau,,A,Ecole
W121000797,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DES CASCADES,gestion et animation des activités scolaires et para-scolaires,,AV,des Cascades,12100,Creissels,,A,Ecole
W121000800,ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE (APEL) DE L'ECOLE SAINT-MICHEL DE CAMARES,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; mettre en oeuvre et faire connaître le projet du mouvement des apel et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, adhérer à l'apel du département de l'aveyron, adhérente à l'apel de l'académie de toulouse, elle-même membre de l'apel nationale, réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement  et contribuer à son animation",,RUE,du Barry,12360,Camarès,,A,Ecole
W121000808,ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DU CERNON,organiser les animations de l'école,"7,",CHEM1,des rivières,12100,Saint-Georges-de-Luzençon,,A,Ecole
W121000822,AMICALE DES CONCESSIONNAIRES ET DES ANCIENS CONCESSIONNAIRES DE LA REGION MIDI-PYRENEES,"accompagner l'ensemble des concessionnaires et anciens concessionnaires dans la formation, l'animation et voyages d'étude et toutes activités se rapportant à l'automobile","85,",AV,Jean Jaurès,12100,Millau,,A,Midi
W121000843,ZI MOMO FAMILIA,"la création, la diffusion d'ateliers et de spectacles vivants, et la mise en place de toutes activités annexes pouvant concourir à la réalisation de l'objet","11,",AV,Jean Jaurès,12150,Sévérac-le-Château,,A,Momo
W121000847,SUR UN PLATEAU,"mettre en valeur le patrimoine et l'environnement de la couvertoirade au travers de manifestations culturelles et festives, ciment de la vie collective",,,,12230,La Couvertoirade,,A,Ciment
