,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude
244,W691102621,BACOCAM (BÂTIR LA CATHÉDRALE D'OBALA-CAMEROUN),"participer à la construction de la cathédrale d'obala, à son entretien et à l'épanouissement spirituel de ses membres",16,CHEM1,des Calles,69380,Lissieu,,16 CHEM1 des Calles 69380 Lissieu,Rhône,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,4.742215,45.8652176
245,W691102683,ÉCOLE NATIONALE DE MUSIQUE ET DE DANSE DU CAMEROUN (ENMDC),enseignement de la musique ; valoriser la culture africaine au travers de sa musique et de sa danse,271,COUR2,Lafayette,69006,Lyon,,271 COUR2 Lafayette 69006 Lyon,Rhône,Auvergne-Rhône-Alpes,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,4.8320114,45.7578137
246,W691102860,ASSOCIATION D'INITIATIVE SOCIALE ET SOLIDAIRE ET DE LA PROMOTION DE LA CULTURE (A.I.S.S.E.C.),"structurer, développer et de participer activement à un formidable mouvement basé sur le partage, le social, la solidarité et l'accès à la connaissance ; pour cela l'association met en place des groupes de travail chargés d'intervenir à tous les niveaux : de la conception à la réalisation des projets ; promouvoir les initiatives locales dans des domaines très divers : production alimentaire durable, agriculture écoresponsable, coopératives, économie collaborative, travail collaboratif, santé et éducation sociale au cameroun ; sensibiliser la jeunesse sur les méfaits de l'immigration clandestine et l'exode rural ; éveiller la conscience chez les éducateurs camerounais et africains face à la dégradation de l'environnement, consécutive aux habitudes quotidiennes des communautés ; contribuer aux actions de lutte contre la pauvreté, l'accès à l'eau potable et à la formation des jeunes ; lutter contre l'exclusion des personnes âgées ; développer les échanges, des partenariats économiques et sociaux entre la métropole de lyon rhône-alpes et les collectivités du cameroun ; de promouvoir les initiatives solidaires dans des domaines divers ; solidarité, assistance, intégration et insertion dans la vie active de ses membres pour les projets professionnels et personnels 'formations, études, création d'entreprises, projets familiaux...) ; participé de manière bénévole aux actions d'autres associations bénévoles ; promouvoir la culture dans toute sa diversité et ses valeurs, organisation d'évènements à caractère culturel et social : aide à la diffusion et au développement de musique du monde et d'ailleurs, partenariat avec d'autres associations culturelles, aide à la création artistique, de soutien aux artistes et tous objets similaires, connexes, complémentaires ou susceptibles d'en favoriser la réalisation ou le développement de la culture",44,RUE,Chevreul,69007,Lyon,,44 RUE Chevreul 69007 Lyon,Rhône,Auvergne-Rhône-Alpes,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ENVIRONNEMENT/  CADRE DE VIE,4.8412016,45.7479638
247,W691103698,ASSOCIATION NDAB BIKOKOO LYON,"rassembler tout ressortissant  bassaa-mpôo-bâti de la diaspora camerounaise, de connaître leur culture, de consolider, retrouver les liens avec les degrés de parentés qui les unissent et ainsi se faire connaître ; elle se fixe aussi comme objectifs : organisation, représentation et défense des intérêts des membres de l'association ; organiser des déplacements pour rencontrer d'autres parents ; organiser, participer à l'organisation de fêtes, et autres manifestations à caractère folklorique, culturel, artisanal et coopératif ; accompagnement de l'un de ses membres à sa dernière demeure en cas de décès ;  favoriser les relations nord-sud",103 - 104,QUAI,Pierre Scize,69005,Lyon,,103 - 104 QUAI Pierre Scize 69005 Lyon,Rhône,Auvergne-Rhône-Alpes,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,4.8197682,45.7665603
248,W691104152,AGIR ENSEMBLE POUR LE CAMEROUN,"mettre en commun des compétences, des savoirs, des savoir-faire et des savoir-être avec des personnes issues des milieux professionnels différents qui seront utilisés pour répondre aux diverses situations et problématiques des populations dans des domaines d'activités variés",4,RUE,Vladimir Komarov,69200,Vénissieux,,4 RUE Vladimir Komarov 69200 Vénissieux,Rhône,Auvergne-Rhône-Alpes,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,4.8855966,45.6977109
249,W691104406,CCF - CHERCHEURS CAMEROUNAIS EN FRANCE,"faciliter l'accueil et l'intégration des stagiaires, doctorants, et post-doctorants ; accompagner les chercheurs dans leur projet professionnel ; recherche de thèses ; recherche de post-doctorats ; concours mcf, pr, cr ; avancement de grade dans le domaine académique ; recherche en milieu industriel ; accompagner le retour des chercheurs au cameroun ; partage d'expériences dans le montage de projets de recherche ; collaboration avec le cameroun ; écriture d'articles scientifiques ; réflexion sur l'amélioration de la recherche au cameroun ; se soutenir mutuellement ; favoriser la parité dans différents domaines de recherche",50,RUE,du Docteur Rollet,69100,Villeurbanne,,50 RUE du Docteur Rollet 69100 Villeurbanne,Rhône,Auvergne-Rhône-Alpes,ÉDUCATION  FORMATION,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),4.886899,45.7733124
250,W691104809,EAUX VIVES DU CAMEROUN,promotion et  soutien de toute action ou projet visant à favoriser l'accès durable à l'eau dans les régions nécessiteuses du cameroun,2,RTE,de Vienne,69007,Lyon,,2 RTE de Vienne 69007 Lyon,Rhône,Auvergne-Rhône-Alpes,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,4.8489382,45.7449356
251,W692003570,ASSOCIATION HUMANITAIRE ET HOSPITALIERE DU CAMEROUN,promotion de la santé pour tous au cameroun et le soutien des personnes démunies à revenus très modestes dans un esprit de solidarité,,,Plateau d'Ouilly,69400,Gleizé,,Plateau d'Ouilly 69400 Gleizé,Rhône,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.6971455,45.9888277
252,W692006728,AIDE WATER AFRIQUE (AWA),"construction des forages eau potable ; distribution des fournitures scolaires ; aide santé dans les zones rurales au cameroun, et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",597,RTE,de la Savoie,69490,Saint-Romain-de-Popey,,597 RTE de la Savoie 69490 Saint-Romain-de-Popey,Rhône,Auvergne-Rhône-Alpes,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,4.5082121,45.8695091
253,W332000416,ASSOCIATION DES RESSORTISSANTS DE L'EST CAMEROUN (AREC),"rassembler tous les camerounais de l'est cameroun, tous les camerounais (es) et les amis(es) du cameroun ; servir de cadre pour le développement de la convivialité et de l'entre-aide entre ses adhérents ; contribuer par des actions aux progrès économiques et socioculturels du cameroun ; lutter contre les maladies (sida, paludisme, méningite, etc. dans l'est cameroun) ; aider à l'intégration de ses membres à la communauté urbaine de bordeaux et ses environs (cub) ; favoriser la rencontre de ses membres avec d'autres associations dans un cadre de convivialité, d'échange et d'ouverture ; organiser dans un cadre associatif et amical diverses manifestations culturelles, sportives, loisirs et autres, ceci afin de favoriser le rapprochement entre ses membres et sympathisants",66,COUR2,de l'Argonne,33000,Bordeaux,,66 COUR2 de l'Argonne 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,SANTÉ,AUTRES,-0.5800364,44.841225
254,W332000572,CONTINUUS,"création de bibliothèques et centres de lecture, valorisation des pc obsolètes, des matériels hospitaliers et distributio ndans les hôpitaux camerounais",41,AV,du Maréchal Juin,33700,Mérignac,,41 AV du Maréchal Juin 33700 Mérignac,Gironde,Nouvelle-Aquitaine,SANTÉ,INTERVENTIONS SOCIALES,-0.6398995,44.8153672
255,W332000811,VILLAGES VERTS AU CAMEROUN,"participer au programme d'expansion des villages du cameroun, par la mise en place d'un système de développement intégré.",,COUR2,de la Libération Domaine de Raba,33400,Talence,,COUR2 de la Libération Domaine de Raba 33400 Talence,Gironde,Nouvelle-Aquitaine,INTERVENTIONS SOCIALES,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-0.5879629,44.8088438
256,W332001493,"""ASSOCIATION NDEPKONG-MEJIOSSEU PROVINCE DE L'OUEST CAMEROUN """"ANM.OC""""""","promouvoir le développement socio économique et sanitaire des villages de l'ouest cameroun, préserver et protéger les traditions bmikele, renforcer les liens sociaux grâce aux rencontres et l'entraide",12,,rue des Peupliers,33530,Bassens,,12 rue des Peupliers 33530 Bassens,Gironde,Nouvelle-Aquitaine,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-0.520074,44.9032885
257,W332001816,COMMUNAUTE CAMEROUNAISE DE BORDEAUX (C.C.B.),"rassembler tous les camerounais de bordeaux, ses environs et les amis du cameroun dans un esprit de diversité ; servir de cadre pour le développement de la convivialité et de l'entre-aide entre ses adhérents ; contribuer par des actions aux progrès économiques et socioculturels du cameroun ; aider à l'intégration de ses membres à la communauté urbaine de bordeaux et ses environs (cub) ; favoriser la rencontre de ses membres avec d'autres associations dans un cadre de convivialité, d'échange et d'ouverture ; organiser dans un cadre associatif et amical, diverses manifestations culturelles, sportives, loisirs et autres, ceci afin de favoriser le rapprochement entre ses membres et sympathisants",10,COUR2,Barbey,33800,Bordeaux,,10 COUR2 Barbey 33800 Bordeaux,Gironde,Nouvelle-Aquitaine,DÉFENSE DE DROITS FONDAMENTAUX/ ACTIVITÉS CIVIQUES,AUTRES,-0.5800364,44.841225
258,W332002809,ASSOCIATION DES STAGIAIRES ET ETUDIANTS CAMEROUNAIS DE BORDEAUX - ASECB,regrouper les stagiares et étudiants camerounais du département de la gironde,,PL,SAINT CHRISTOLY,33000,Bordeaux,,PL SAINT CHRISTOLY 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,ÉDUCATION  FORMATION,ÉDUCATION  FORMATION,-0.5774745349885884,44.839719200000005
259,W332003090,SOLIDARITE CAMEROUN,"collecte de fonds pour la construction de puits d'eau au cameroum, en partenariat avec le  service hydraulique de villageoise",15,COUR2,de l'Argonne,33000,Bordeaux,,15 COUR2 de l'Argonne 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,CLUBS DE LOISIRS/ RELATIONS,INTERVENTIONS SOCIALES,-0.5800364,44.841225
260,W332005599,AGENCE INTERNATIONALE D'APPUI AU DEVELOPPEMENT SOLIDAIRE (A.I.A.D.S.),"l'appui au développement solidaire. elle se propose de mettre au service des personnes en difficulté d'insertion, des compétences et des savoirs (vivre-faire-être) d'ici et d'ailleurs. l'a.i.a.d.s. entend ouvrir toutes personnes (sans distinction de sexe, ni de race, ni de religion) aux autres cultures par des actions qui valorisent la citoyenneté, la diversité, le développement durale et l'émancipation des individus. apporter au moyen d'activités diverses de la cohésion sociale ; susciter des rencontres débats intergénérationnelles donnant la possibilité aux habitants des quartiers de la cub, ainsi que ceux évoluant en milieu rural camerounais non seulement de donner leurs avis sur des sujets variés, mais aussi de participer aux actions du développement local et global",23 B,RUE,de Lauzac,33100,Bordeaux,,23 B RUE de Lauzac 33100 Bordeaux,Gironde,Nouvelle-Aquitaine,INTERVENTIONS SOCIALES,AUTRES,-0.5403005,44.8525526
261,W332007030,MBOA SAWA,"promouvoir l'entraide, l'entente, la cohésion sociale et la promotion de la culture des camerounais originaire de la côte",19,RUE,Paul Edouard,33600,Pessac,,19 RUE Paul Edouard 33600 Pessac,Gironde,Nouvelle-Aquitaine,ACTION SOCIOCULTURELLE,AUTRES,-0.6308396,44.805615
262,W332008081,LES VEILLEUSES CAMEROUNAISES,rassembler les femmes camerounaises et de toutes origines pour valoriser leur place dans la société ; contribuer au développement de l'échange et du partage pour favoriser la connaissance réciproque ; soutenir la solidarité ici et ailleurs,,,appartement 1620,33400,Talence,,appartement 1620 33400 Talence,Gironde,Nouvelle-Aquitaine,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,-0.5879629,44.8088438
263,W332010286,ECHANGES BORDEAUX CAMEROUN,"contribuer à partir de bordeaux et sa région et du cameroun, au développement des échanges économiques, culturels et touristiques entre bordeaux et le cameroun.",20,RUE,de la Liberté,33150,Cenon,,20 RUE de la Liberté 33150 Cenon,Gironde,Nouvelle-Aquitaine,CULTURE/ PRATIQUES D'ACTIVITÉS ARTISTIQUES/ PRATIQUES CULTURELLES,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,-0.5194492,44.8625577
264,W332010621,DIASPORA CAMEROUNAISE DE BORDEAUX,"rassembler tous les camerounais de bordeaux ; servir de cadre pour le développement de la convivialité et de l'entraide entre ses adhérents ; contribuer, par des actions, au progrés économique et socio-culturel du cameroun avec les pays de l'afrique centrale. la dcb est apolitique",26,RUE,de Bègles,33000,Bordeaux,,26 RUE de Bègles 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,-0.5677603,44.8283823
265,W332010768,ASSOCIATION FRANCO CAMEROUNAISE EMMANUEL,"ouvrir un ensemble scolaire au cameroun destiné à accueillir les enfants avec une attention particulière pour les enfants défavorisés, de veiller à leur scolarisation, de leur apporter tout le soutien nécessaire à leur épanouissement et à leur éducation",10,RUE,Robert Charazac,33000,Bordeaux,,10 RUE Robert Charazac 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-0.5765931,44.8635158
266,W332012621,CLUB DES BATISSEURS,"favoriser les échanges entre les acteurs institutionnels, économiques et universitaires bordelais et camerounais ; contribuer au développement de l'esprit d'entrepreneuriat et de management au cameroun ; participer à la connaissance et au rayonnement du cameroun à bordeaux et de bordeaux au cameroun",9,COUR2,de Gourgue,33000,Bordeaux,,9 COUR2 de Gourgue 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,-0.5800364,44.841225
267,W332014333,EGLISE PRESBYTERIENNE REFORMEE DU CAMEROUN - EPRC,assurer la célébration du culte presbytérien ;  promouvoir l'évangile de jésus christ et les valeurs chrétiennes ; assurer la bonne marche spirituelle de l'église ;  renforcer les liens entre ses membres ;  promouvoir les valeurs de la réformation en collaborant dans un esprit oecuménique avec toutes les 2glises qui ont les mêmes visions,60,AV,du Maréchal de Lattre de Tassigny,33700,Mérignac,,60 AV du Maréchal de Lattre de Tassigny 33700 Mérignac,Gironde,Nouvelle-Aquitaine,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,-0.6578442,44.8468624
268,W332014878,33 CAMEROUN,"développer des échanges de toutes sortes entre la gironde et le cameroun, notamment mener des actions humanitaires en direction des différentes provinces du cameroun",20,RUE,de la Liberté,33150,Cenon,,20 RUE de la Liberté 33150 Cenon,Gironde,Nouvelle-Aquitaine,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-0.5194492,44.8625577
269,W332015951,WILMA PROMOTION,organiser des galas de boxe au cameroun afin de promouvoir cet art pugilistique ainsi que le patrimoine sportif camerounais,13,RUE,de l'étang,33170,Gradignan,www.wilmapromotion.com,13 RUE de l'étang 33170 Gradignan,Gironde,Nouvelle-Aquitaine,SPORTS/ ACTIVITÉS DE PLEIN AIR,AUTRES,-0.6106764,44.7807861
270,W332021253,ASSOCIATION POUR L'AIDE AU DEVELOPPEMENT DES POPULATIONS DEFAVORISEES DU CAMEROUN,"cette association a pour but d'encourager, promouvoir et soutenir toutes initiatives sociales et économiques, dans le strict respect de la dignité des personnes et des populations en situation de détresse matérielle et morale ; l'association aura la faculté de contribuer à travers des actions ciblées, à la réduction de la pauvreté et à améliorer les conditions de scolarisation des jeunes filles et garçons au cameroun",24,RUE,Ramonet,33000,Bordeaux,,24 RUE Ramonet 33000 Bordeaux,Gironde,Nouvelle-Aquitaine,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,-0.569933,44.852462
