titre,objet,mot_cle
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE D'AGUESSAC,"Resserrer le liens d'amitié entre l'école et les parents d'élèves, favoriser l'organisation d'activités scolaires et de projets éducatifs, permettre l'amélioration des moyens matériels d'enseignement et accroÎtre leur efficacité, ainsi que les services liés à l'école.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE,"Organiser et gérer les activités scolaires, extra-scolaires, notamment la garderie, la cantine, et aider au développement de la coopérative scolaire.",ecole
U.S.E.P. ECOLE PUBLIQUE LA CRESSE,"Former à la responsabilité, au civisme, à l'autonomie par la pratique d""activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE JEAN DE LA FONTAINE DE VABRES L'ABBAYE,Aider l'équipe d'enseignants à réaliser leurs projets pédagogiques d'un point de vue technique ou financier. Organiser des activités extra-scolaires afin de dynamiser la vie scolaire. Collecter des fonds qui serviront à impulser des activités culturelles et sportives au sein de l'école. Agir pour impliquer davantage les parents d'élèves à la vie de l'école.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT SERNIN SUR RANCE,Participer à la vie scolaire.,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT ROME DE CERNON,Gérance des activités de l'école en dehors du travail scolaire,ecole
ASSOCIATION SPORTIVE SOCIO-CULTURELLE USEP D'ELEVES ET DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LESTRADE,"Pratique d'activites physiques, sportives et de pleine nature, d'activites socio-culturelles",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE DU SACRE-COEUR  - JEANNE D'ARC (APEL DU SACRE COEUR - JEANNE D'ARC),"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience, promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses reponsables et les organismes concernés, mettre en oeuvre et faire connaître le projet du mouvement des APEL et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, l'associ",ecole
ASSOCIATION SPORTIVE U.S.E.P. ECOLE PUBLIQUE DE SAINT GEORGES DE LUZENCON,"Former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives, de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique. Elle contribue à l'éducation globale des enfants.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE DE L'ECOLE DES AMANDIERS,"Favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; mettre en oeuvre et faire connaître le projet du mouvement des APEL et renforcer le sentiment d'appartenance à un mouvement national ; a cet effet, adhérer à l'APEL du département de l'Aveyron, adhérente à l'APEL de l'académie de Toulouse, elle-même membre de l'APEL nationale ; réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement et contribuer à son animation",ecole
