titre,objet,mot_cle
[ SFC ] ORGANISATION,"développer une communauté d'échanges et de rencontres, basé sur l'organisation de journée de jeux en réseau, à fin de promouvoir les technologies de l'informatique et de la communication",basé
LA COMPAGNIE DES CAUSSES,"dans un but culturel, pédagogique et festif, tourné vers le théâtre, le chant, la musique, la sculpture, la peinture,  animer les villages des Causses tout au long de l'année, soit par des spectacles, soit par des groupes d'apprentissage",long
VIVRE A SAINT PAUL DES FONTS,"agir pour la défense du village de saint-Paul et de ses alentours dans le cadre du respect de ses valeurs rurales et morales, de son patrimoine, de l'environnement ; intervenir auprès des organismes compétents en vue d'obtenir la réalisation de ses résolutions prises en assemblée générale ; assurer la sauvegarde de ses droits auprès des organismes publics, administratifs ou politiques ; améliorer la vie sociale du village par des animations ou autres activités",saint paul
LES AMIS D'EUGENE VIALA ET DU LEVEZOU,"la sauvegarde, la connaissance, le rassemblement et la diffusion des oeuvres du peintre et plus largement, à partir de celles-ci, se proposer de développer des activités culturelles et artistiques ; dans le cadre de celles-ci, envisager plus précisément l'organisation de conférences, d'expositions, de concerts, de représentations théâtrales, de manifestations socio-culturelles, etc. ; au-delà, encourager et contribuer à la découverte du Plateau du Levézou, ceci à travers son patrimoine historique, archéologique et notamment ses traditions, ses usages, sa langue et son environnement naturel",viala
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DU RANCE,soutenir financièrement les projets pédagogiques ; organiser des rencontres entre parents d'élèves,ecole
LA BANDE A DEDE,"promouvoir la mobylette, organiser des rencontres entre passionnés, se réunir, échanger des pièces",bande
ASSOCIATION SPORTIVE SCOLAIRE USEP DE L'ECOLE PUBLIQUE DE VABRES-L'ABBAYE,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre du fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE PLAISANCE,"prise en charge d'animations scolaires et extra-scolaires pour les enfants ; organisation et gestion de lotos ou autres manifestations pour prévoir et financer des sorties pédagogiques ; prise en charge financière de certains équipements (jeux, équipements sportifs, etc)",ecole
U.S.E.P.(UNION SPORTIVE DE L'ENSEIGNEMENT PREMIER DEGRE) DE L'ECOLE ELEMENTAIRE DU PUITS DE CALES,"former à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE BRUSQUE,"permettre aux parents d'élèves de l'établissement de veiller à la défense des intérêts matériels et moraux de leurs enfants en particulier, et de l'enseignement public et laïque en général ; représenter les parents auprès des pouvoirs publics et agir légalement en leur nom sur le plan local ;  documenter les parents sur tout ce qui concerne la vie, l'orientation et l'avenir de l'enfant ; étudier et réaliser tous les moyens propres à la réalisation de ces buts",ecole
ASSOCIATION DES AMIS DE L'ECOLE DE MUSIQUE,"servir d'intermédiaire entre l'Ecole de musique et les municipalités, et promouvoir l'enseignement musical dans le Rougier",ecole
LA REMOUTARIE,"aider à l'installation d'un collectif de paysan(ne)s et artisan(ne)s ayant comme vocation principale plus d'autonomie collective, alimentaire, énergétique et culturelle ; organiser des évènements permettant de financer des projets liés à son action, permettre la mise en réseau et l'échange avec des personnes et associations intéressées par son objet ; développer des activités agricoles pour la production, la transformation et la commercialisation de tous produits d'origine agricole, privilégiant l'utilisation de produits naturels non synthétiques à tous les stades des opérations (fumure, défense végétale, alimentation des animaux) et de techniques non agressives ; proposer et réaliser une forme de vie en collectif originale, sans hiérarchie sociale ou politique, dans laquelle chaque individu participe activement et personnellement au fonctionnement matériel et à l'obtention des ressources de l'association, laquelle en retour assure à tous ses membres la satisfaction des besoins fondamentaux (logement, nourriture, accès à la culture, éducation et scolarisation des enfants, etc) ; préserver le patrimoine naturel et participer à la vie locale, favoriser une réflexion sur les énergies alternatives renouvelables l'éco-construction et les habitats légers et mobiles ; assurer la formation de ses membres à toute tâche relative à son objet ; mise à disposition non lucrative d'espaces partagés à d'autres associations en accord avec les fondements de l'association ; parvenir au maintien ou au développement d'une collectivité d'individu-es vivants ensemble, avec pour vocation de vivre de façon autonome, militante et solidaire, largement ouvert vers l'extérieur par des communications culturelles, sociales, éducatives, formatrices, festives...",ouvert
ECOLE DE BOWLING DE MILLAU,promotion et développement de la pratique du bowling chez les jeunes,ecole
A LA CANTONADE,"développer la vie culturelle dans les 5 cantons de Belmont, Camarès, Saint-Affrique, Saint-Rome de Tarn et Saint-Sernin, en organisant des manifestations culturelles, avec pour but : favoriser la création, la réflexion, la communication et la collaboration entre les artistes professionnels, semi-amateurs, amateurs et tous intéressés de même discipline artistique ou de disciplines différentes ; faciliter les échanges avec la population à travers les arts et pratiques artistiques ; mettre en valeur l'environnement naturel et culturel sur les 5 cantons",semi
ASSOCIATION AMICALE DES ANCIENS ELEVES DE L'ECOLE PIGIER BUREAU DE MILLAU,"venir en aide à ses membres, constituer le parrainage des jeunes sociétaires par les anciens ; établir entre tous les sociétaires des relations amicales ; organiser des activités culturelles et sportives",ecole
ASSOCIATION D'EDUCATION POPULAIRE DE L'ECOLE PRIVEE MIXTE DE BRUSQUE,éducation populaire,ecole
MOSTRA DEL LARZAC,"promouvoir, dans une région injustement deshéritée, une activité artistique d'esprit coopératif, en étroite relation avec le milieu paysan, sa tradition et les produits du sol ; une exposition annuelle d'art moderne, où seront sélectionnés les peintres, sculpteurs, photographes d'art, décorateurs, architectes du midi de la France, fera la preuve qu'entre l'art populaire et l'art contemporain authentique, il n'existe pas de rupture ; un bureau de renseignements s'efforcera d'introduire à une compréhension en profondeur des richesses naturelles du pays occitan, de son patrimoine historique, littéraire et artistique",midi
COMITE DES FETES DE SAINT PAUL DES FONTS,maintenir les festivités dans le village,saint paul
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DES CANABIERES,la participation des parents d'élèves à la vie associative de l'école publique,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DU TRUEL,"soutenir toutes activités péri- et post-scolaires ; régir le financement, la mise en place et l'aménagement d'horaires pour l'aide maternelle",ecole
FOYER RURAL DES JEUNES DE CALMELS ET LE VIALA,"réunir les jeunes afin de contribuer à leur épanouissement, les moyens employés étant d'ordre moral (activités de loisirs et d'échanges, ambiance de détente, etc)",viala
COMITE DU JUMELAGE CAMARES - LAURENS,"jumelage entre les villes de Camarès (12360, Aveyron, Midi-Pyrénées) et de Laurens (34480, Hérault, Languedoc-Roussillon) ; promotion et organisation d'échanges culturels, sociaux, éducatifs, scientifiques, sportifs, sous toutes les formes",midi
BASKET CLUB SEVERAGAIS,"organiser des rencontres amicales ou en championnat Aloa, de basket ; donner un encadrement d'adultes à des enfants mineurs qui veulent pratiquer ce sport",aloa
FAMILLES RURALES : ASSOCIATION DE CREISSELS,"l'épanouissement des personnes, la promotion des familles et le développement de leur milieu de vie dans un esprit permanent d'ouverture et d'accueil à tous, notamment en intégrant toutes les générations ; but essentiel de rassembler les familles et les personnes vivant en milieu rural et assurer la défense de leurs intérêts matériels et moraux ; elle peut à ce titre intervenir dans tous les domaines concourant à la promotion des familles et de chacun de leurs membres, ainsi qu'à l'amélioration de la qualité de la vie, notamment ceux soumis à l'agrément des pouvoirs publics et semi-publics, et tout particulièrement concernant : l'action familiale et sociale : accueil et éveil du jeune enfant, soutien à la fonction parentale, intégration des familles, lutte contre l'exclusion ; maintien à domicile ; hébergement temporaire ; accueil familial des personnes âgées ou handicapées, services aux personnes, etc. ; la jeunesse et l'éducation populaire ; l'action éducative complémentaire à l'école ; la consommation : défense, éducation, prévention, qualité et sécurité des produits et des services, économie sociale et familiale, commerce local, etc ; l'aménagement du territoire et le développement local ; l'environnement : protection de la nature, amélioration du cadre de vie, etc ; le logement et l'habitat ; le transport et la sécurité routière ; la santé, l'éducation à la santé et la prévention ; la culture et le patrimoine local ; les technologies de l'information et de la communication ; les relations internationales ; les activités physiques et sportives ; le tourisme, les loisirs, les vacances ; la promotion de l'emploi, l'insertion sociale et professionnelle ; les services publics locaux",semi
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE BELMONT SUR RANCE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
COOPERATIVE SCOLAIRE DE L'ECOLE PUBLIQUE JEAN DE LA FONTAINE,"gérer les subventions accordées à l'école, ainsi que les éventuels donc versés à la coopérative scolaire",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE D'ALRANCE,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'Usep",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT ROME DE TARN,regrouper l'ensemble des parents d'élèves de l'école publique afin de propager et défendre l'idéal laïque,ecole
OGEC ECOLE SAINTE FAMILLE,assumer juridiquement la gestion d'établissements d'enseignement fondés par l'autorité canonique compétente,ecole
CAUSSE ET SAVANE,regrouper des personnes morales ou physiques souhaitant tisser des liens d'amitié et d'entraide avec les pays africains et plus particulièrement avec les personnes handicapées ; apporter une attention toute particulière au suivi des activités de l'Association des Paralysés du Mali,mali
DESTINATION CULTURE,"développer des liens d'amitié entre la France et l'Allemagne dans divers domaines et notamment en matière culturelle et artistique ; faciliter l'accès de chacun à la culture française et allemande en tenant compte de la diversité des disciplines et des expressions artistiques ; mettre en valeur la langue et la culture française lors des échanges en découvrant l'environnement naturel et le patrimoine français (région Midi-Pyrénées tout particulièrement) ; travailler en lien étroit avec les institutions régionales, départementales et les municipalités pour développer des échanges avec l'Allemagne, de même qu'avec tout organisme désireux de nouer des relations entre la région Midi-Pyrénées et l'Allemagne",midi
VILLA FINA,"développer des activités culturelles et physiques non compétitives à partir des locaux qui hébergent l'association, à savoir l'ancien garage Fina, avenue Sully, ; rassembler des amateurs et des professionnels, et établir des partenariats pour créer des projets, évènements ponctuels, stages, rencontres, etc., et pour soutenir et organiser des activités d'initiation, de formation ou de production sur la commune et le territoire du Lévézou, ou plus loin encore si toutefois la Villa Fina reste le coeur actif du projet ;",loin
PETANQUE VIALARAINE,"promouvoir, plus particulièrement sur le territoire de la commune du Viala du Tarn, la pratique de la pétanque et des jeux de quilles sous toutes leurs formes ; aider les membres à participer à des épreuves sportives ou de compétition",viala
COMITE DES FETES DU VIALA DU DOURDOU,organiser la fête et autres manifestations en vue d'animer le village et de resserrer les liens d'amitié entre les habitants,viala
AMICALE DES PARENTS D'ELEVES DE L'ECOLE MATERNELLE BEAUREGARD,"former, organiser, animer et gérer les activités socioculturelles dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE CASTELNAU PEGAYROLS,organiser et gérer les diverses activités annexes et la cantine,ecole
ASSOCIATION POUR L'INFORMATIQUE DANS L'ECOLE,"favoriser les échanges, sur le plan informatique, entre les différentes écoles privées du Sud Aveyron",ecole
COMITE DES PARENTS D'ELEVES DU SECONDAIRE DU VIALA DU TARN,"regrouper les parents et tuteurs légaux d'enfants scolarisés en classe secondaire, afin de leur permettre de débattre de leurs problèmes spécifiques et d'entreprendre en commun les démarches administratives et les actions liées à la scolarité",viala
ASSOCIATION LOCALE DES MEDECINS DE SAINT AFFRIQUE POUR LES GARDES ET LES URGENCES,"réunir les médecins généralistes qui doivent prendre les gardes pour répondre aux urgences du samedi après-midi, du dimanche jusqu'au lundi matin 8h, et également les jours fériés",midi
UNE ECOLE DE LA MUSIQUE A CAMARES,dispenser des cours de musique (piano et solfège) aux camarésiens intéressés (enfants ou adultes),ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE BEAUREGARD DE MILLAU,"développer l'éducation globale des enfants par la pratique des activités physiques, sportives et de pleine nature",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE CURAN,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'U.S.E.P.",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE COUPIAC,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physique, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'U.S.E.P.",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE LA CAPELLE BONANC E,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités sportives, physiques et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'U.S.E.P.",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE DU CRES DE MILLAU,"développer l'éducation globale des enfants par la pratique des activités physiques, sportives et de pleine nature",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE SAINT SERNIN SUR RANCE,"former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, manifestations organisées par l'U.S.E.P.",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE ST SEVER DU MOUSTIER,"former les jeunes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE VEZINS DU LEVEZOU,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE MURASSON,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE PLAISANCE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, dans le cadre d'un fonctionnement démocratique ; elle contribue à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE U.S.E.P. ECOLE MIXTE EUGENE SELLES A MILLAU,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation des enfants",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE L'HOPITAL DU LARZAC,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE NANT,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE TOURNEMIRE,"former à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, dans le cadre d'un fonctionnement démocratique ; contribuer à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DU VIALA DU PAS DE JAUX,"pratique d'activités physiques, sportives et socioculturelles visant à l'éducation globale des enfants",viala
ASSOCIATION CULTURELLE ET SPORTIVE USEP DE L'ECOLE PUBLIQUE DU VIALA DU TARN,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",viala
ASSOCIATION SPORTIVE USEP DE L'ECOLE PUBLIQUE DE ROQUEFORT SUR SOULZON,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE CENOMES,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION SPORTIVE USEP ECOLE PUBLIQUE DE SAINT MARTIN DES FAUX,"pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",ecole
LES AMIS DE L'ECOLE DE SAINT LAURENT DE LEVEZOU,récolter des fonds en vue d'aider au fonctionnement et à l'équipement de l'école de St. Laurent de Lévézou,ecole
ASSOCIATION USEP ECOLE MATERNELLE VICTOR HUGO,"favoriser la pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION USEP ECOLE PUBLIQUE DE VERSOLS ET LAPEYRE,"favoriser la pratique d'activités physiques, sportives et socio-culturelles visant à l'éducation globale des enfants",ecole
ASSOCIATION DE PARENTS D'ELEVES - ECOLE PUBLIQUE DE MONTCLAR,rechercher une personne qualifiée aux besoins de la cantine scolaire et d'une personne qualifiée au nettoyage des classes scolaires ; répartir équitablement à ses besoins les sommes allouées par la municipalité de Montclar ; effectuer un compte-rendu régulier aux parents d'élèves ; accepter les enfants dont les parents désirent qu'ils aillent à la cantine,ecole
LES AMIS DU PAS DE CEILHES,"recevoir les naturistes, les documenter et leur permettre de pratiquer la gymnité intégrale en leur assurant une animation socio-éducative sur un terrain ouvert au camping-caravanage exclusivement réservé à ses membres et géré par l'association ; proposer la découverte de l'Aveyron, de tous les aspects que la nature propose, également sur le plan touristique, culturel, économique ; défendre collectivement les intérêts communs de ses membres ; pouvoir ester en justice par voie d'action ou d'intervention",ouvert
BAÏLA MORENA,expression corporelle,baïla
"ASSOCIATION CULTURELLE ET SPORTIVE USEP DES ECOLES DE VERRIERES SAINT BEAUZELY, CASTELNAU PEGAYROLS, MONTJAUX ET VIALA DU TARN 'AMUZE 5'","former les jeunes et les adultes à la responsabilité, au civisme, à l'autonomie, par la pratique d'activités physiques, sportives et de pleine nature, d'activités socio-culturelles, manifestations organisées par l'U.S.E.P.",viala
SECTION THEATRE DE L'INSTITUT D'ETUDES OCCITANES,"maintenir et prolonger une structure de Rencontres Interrégionales de Théâtre Occitan dans le cadre initial tel que défini en 1989 avec l'ASSA Saint-Affrique ; assurer le lien interrégional au niveau des échanges, de la création, de la diffusion, en collaboration avec toutes les structures ayant des objectifs communs ; à cet effet, collaborer avec tout groupement quel qu'il soit (sociétés savantes, artistiques, littéraires ou autres) dans la mesure où cette collaboration sert les buts de l'IEO, et avec l'université",assa
HIPPO-GITE,"créer un gite d'étape ouvert à tous les randonneurs non motorisés ; travailler en liaison avec les associations équestres de la région et s'inscrire dans une volonté de développement du tourisme local ; participer à l'ouverture de nouveaux chemins, et favoriser les actions en faveur du tourisme équestre ; organiser des randonnées",ouvert
JOKER,"favoriser la communication entre porteurs de projets touristiques, et organiser un forum professionnel ouvert au public",ouvert
"LE CHOIX DES METS ""NO MAD DANS L'ÂME""","permettre l'approche d'un mode de vie sain et diversifié basé sur l'échange et le développement du commerce local, biologique, raisonné et équitable",basé
ECOLE DE YOGA DE SAINT-AFFRIQUE,"pratique du yoga ; recherche, étude, information, développement de toutes pratiques corporelles, psycho-corporelles et culturelles",ecole
TOUS AVEC ET POUR LOGAN,"mettre à la disposition de Logan Dollé, né le 26 mai 2009, enfant atteint du syndrome d'Usher de type 1, un lieu propice à l'éveil, des instruments, du matériel pour lui permettre de communiquer, c'est-à-dire du matériel d'adaptation sur le plan visuel pour son confort",dollé
ASSOCIATION DE SOUTIEN À L'INITIATIVE CULTURELLE (ASIC),"location et animation d'un local culturel ouvert au public, à Millau, et comprenant entre-autres une bibliothèque de prêt ; impulsion et soutien à diverses initiatives et manifestations culturelles et sociales",ouvert
MAIN TENANT,recherche et développement des réalités énergétiques naturelles,main
FEDERATION DEPARTEMENTALE DE DEFENSE ET DE PROMOTION DE L'ECOLE RURALE DE L'AVEYRON ( F.D.D.P.E.R 12 ),"défendre l'existence l'existence de l'école rurale, démontrer la valeur de la pédagogie qu'on y pratique, lui donner les moyens indispensables à la poursuite de son renouvellement",ecole
BIBLIOTHEQUE ECOLE MALHOURTET,gérer et animer la bibliothèque - centre de documentation de l'école Malhourtet,ecole
ATOUT DOC,"favoriser l'accès des enseignants et des partenaires de l'école à la documentation pédagogique, et développer la circulation d'ouvrages parmi les écoles de la circonscription de Saint-Affrique",atout
MILLAU AIRSOFT,"réunir des joueurs d'airsoft et leur proposer de pratiquer cette activité (et toute activité connexe) dans un cadre légal et sécurisé ; promouvoir cette activité dans la région millavoise ; organiser des rencontres inter-associations ; permettre l'achat groupé de matériel (répliques, billes, gaz et tout matériel ayant rapport avec les activités de l'association) pour revente aux adhérents",légal
LA BEAUTE DU GESTE,"défendre et développer l'oeuvre faite de main d'homme ou de femme, génératrice de fierté et de dignité",main
ASSOCIATION DES AMIS DE LA FANFARE 12°5 'VIALA QU'CA R'COMMENCE',"gérer, organiser et impulser dans une zone rurale de l'Aveyron une dynamique musicale dans la tradition des fanfares, beaux-arts (rencontres, formations, concerts populaires et folkloriques, détente et loisirs)",viala
ROCK ASSO,développer la culture rock et tous ses moyens d'expression dans la région Midi-Pyrénées,asso
ECOLE PACIFIQUE DU NON ABANDON,"susciter, aider, rechercher et promouvoir l'autonomie de fonctionnement d'entreprises individuelles et collectives à caractère économique, social et culturel à vocation pacifique",ecole
REOUVRONS L'ECOLE,réouverture et maintien de l'école primaire et maternelle à Sylvanès,ecole
KRAV MAGA ET PRÉPARATION PHYSIQUE - 12,pratique du Krav Maga (self défense) et de la préparation physique générale,maga
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE COUPIAC,gérer le fonctionnement de la vie parascolaire,ecole
AMICALE DES PARENTS D'ELEVES ET ENSEIGNANTS DE L'ECOLE MATERNELLE JEAN MACE,"apporter un soutien à l'équipe pédagogique, et contribuer au développement des activités scolaires et extra-scolaires",ecole
AMICALE DES DONNEURS DE SANG BÉNÉVOLES DU SAINT-AFFRICAIN,"établir et resserrer les liens d'amitié ;renforcer l'esprit de bénévolat et de volontariat entre les donneurs de sang bénévoles de la communauté de communes du Saint-Affricain et du canton de Saint-Affrique ; participer à la publicité, au recrutement de nouveaux donneurs ; participer à l'organisation des collectes de sang, à l'accueil des donneurs en liaison avec l'Etablissement Français du Sang (EFS) du département de l'Aveyron, l'Union Départementale 12 (UD 12) et la Fédération Française pour le Don de Sang Bénévole à Paris",sang
ASSOCIATION DE DEVELOPPEMENT DE L'APICULTURE EN MIDI PYRENEES,concourir par tous les moyens au maintien et au développement de l'apiculture en Midi-Pyrénées,midi
PASPARTOUT,"faciliter l'accès aux particuliers, associations, paysans, artisans, à l'embauche de main-d'oeuvre temporaire pour pallier un besoin existant non satisfait en milieu rural",main
MADAM' MERCADIER ASSO,"faire découvrir, à partir d'un groupe de musiciens et au travers d'animations publiques ou privées, la musique traditionnelle de Louisiane, dite ""cajun"", en priorité, et refaire vivre toute autre musique traditionnelle collectée et réadaptée par les soins du groupe à travers, essentiellement ou pour une grande part, des instruments de musique acoustique",asso
LA SAFRANIEIRA,réintroduire et promouvoir la culture du safran en Midi-Pyrénées,midi
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE SAINT CREPIN,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école ; organiser toutes activités susceptibles d'apporter un soutien moral et matériel à l'école, aux familles et aux maîtres ; favoriser l'entente avec toutes les associations semblables",ecole
ASSOCIATION DES PARENTS D'ELEVES ECOLE PRIVEE MIXTE,grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien de l'école et des maîtres,ecole
ASSOCIATION SPORTIVE U.S.E.P. ECOLE VICTOR HUGO PRIMAIRE,"pratique d'activités physiques, sportives et socioculturelles visant à l'éducation globale des enfants",ecole
NOROC,"créer, gérer, animer des activités partenariales d'appui au développement artisanal du Sénégal, outre les échanges entre le Viala du Tarn et Iléanda, Roumanie ; animer ou soutenir des activités de solidarité et d'échanges à caractère humanitaire",viala
ASSOCIATION D'EDUCATION POPULAIRE ECOLE PRIMAIRE SAINTE MARIE,"gestion, soutien matériel et moral de l'école",ecole
GRANDE SOIREE ET FETES,"développer entre ses membres la connaissance des techniques sonores, musicales et visuelles, notamment en participant à différents types de manifestations et à l'animation des soirées artistiques ; promouvoir toute activité sur la culture et la pratique de la musique  en régions Midi-Pyrénées et Languedoc-Roussillon",midi
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE CAMPAGNAC,"regrouper l'ensemble des parents d'élèves afin de formuler des voeux sur tout objet concernant l'école publique et son environnement socio-culturel ; parfaire les rapports individuels et collectifs entre parents d'élèves ; appuyer le personnel éducatif dans ses tâches quotidiennes ; coordonner et organiser des activités extra-scolaires entre parents, élèves et amis de l'école publique afin de créer les conditions maximales pour l'épanouissement de tous",ecole
ASSOCIATION D'EDUCATION POPULAIRE ECOLE PRIVEE MIXTE DE COUPIAC,"organiser le fonctionnement matériel des écoles libres et notamment de l'école catholique de Coupiac, engager les directeurs et maîtres, assurer leur rémunération, s'intéresser à leur retraite, leur perfectionnement, en conformité avec le statut des directeurs et maîtres de l'enseignement libre ; acquérir ou prendre en location tous immeubles jugés utiles aux fins ci-dessus indiquées ; établir et entretenir des rapports suivis, dans le cadre des attributions statutaires de chacunes d'elles, avec les associations s'intéressant à l'enseignement libre",ecole
CERCLE DES NAGEURS DE SAINT-AFFRIQUE,"démocratisation, promotion, développement, apprentissage, enseignement, initiation, encouragement de la pratique, en loisirs ou en compétitions, de la natation et ses disciplines associées (natation course, eau libre, synchronisé, water polo, aqua rando, aqugym, aquabike, aquaéveil, école de natation) ; la réalisation de son objet peut conduire l'association à l'organisation d'évènements sportifs ludiques, de stages sportifs ou de compétitions ainsi que toutes autres activités rentrant dans le cadre de son objet ; pratique conviviale de la natation",polo
GROUPEMENT D'EMPLOYEURS DU VIALA DU TARN,mettre à la disposition de ses membres un ou plusieurs salariés agricoles liés au groupement d'employeurs par un contrat de travail,viala
AMICALE LAIQUE DE SEVERAC LE CHATEAU,"faire connaître et défendre l'idéal laïque ; établir un lien entre les familles et l'école, afin de permettre à celle-ci de remplir pleinement sa mission éducative et sociale ; prolonger l'oeuvre scolaire par l'organisation d'activités éducatives, tendant à compléter la formation intellectuelle, physique et morale des enfants d'âge scolaire, par l'organisation des mêmes activités pour les adolescents et les adultes, par la création d'oeuvres péri- et post- scolaires",post
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE COMPEYRE,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école ; organiser toutes activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres ; favoriser l'entente avec toutes associations semblables ; à cet effet, adhérer à l'A.P.E.L. départementale et à l'A.P.E.L. de la région académique, elle-même fédérée  à l'Union Nationale des A.P.E.L.",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE MIXTE DE BROQUIES,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école ; assurer toutes activités susceptibles d'apporter un soutien matériel et moral à l'école, aux familles et aux maîtres ; favoriser l'entente avec toutes associations semblables, à cet effet, adhérer à l'APEL départementale et à l'APEL de la région académique, elle-même fédérée à l'Union Nationale des APEL",ecole
