,Unnamed: 0,id,titre,objet,adrs_numvoie,adrs_typevoie,adrs_libvoie,adrs_codepostal,adrs_libcommune,siteweb,adrs,dept,region,social_object1_libelle,social_object2_libelle,longitude,latitude,facebook_url,helloasso_url
1413,1494629,W783001978,DIASPORA FOTO DE FRANCE,"entretenir et renforcer la solidarité, l'entraide et la fraternité entre les Fotos résidant en France ; aider à consolider, préserver et promouvoir la culture Foto entre les Fotos résidant en France ; accompagner les ressortissants Fotos dans le processus d'insertion sociale en France ; oeuvrer pour la défense des intérêts des Fotos auprès des autorités françaises et européennes ; contribuer à une meilleure entendre entre le peuple français et camerounais",4,,Les Larris Verts,95300,Pontoise,,4 les larris verts 95300 pontoise,Val-d'Oise,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,2.0911306,49.0350229,https://www.facebook.com/diaspofotofra,https://www.helloasso.com/associations/collectif-de-la-diaspora-senegalaise-de-france
1414,1494765,W783002114,(L'ACACHE) COEUR A COEUR HANDICAP ESPOIR,"accompagnement, l'aide et l'amélioration des conditions de vie des personnes âgées démunies, victimes de maladies invalidantes de la région d'Edéa au Cameroun, aide matérialisée par la fourniture du matériel médical et hygiènique, le suivi des personnes et leur encadrement au quotidien par des bénévoles formés",260,AV,Maréchal Foch,78670,Villennes-sur-Seine,,260 avenue marechal foch 78670 villennes-sur-seine,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),1.9987648,48.9404491,https://fr-fr.facebook.com/Coeurhandicap/,https://www.helloasso.com/associations/coeur-a-coeur
1415,1494788,W783002138,PY-FRANCE (POLYTECHNICIENS DE YAHOUNDE EN FRANCE),"solidarité, camaraderie et amitiés entre ingénieurs de l'Ecole Polytechnique de Yaoundé résidents en France ; promotion et lobbying en France, pour l'Ecole Nationale Supérieure Polytechnique de Yaoundé ; force de propositions pour le Cameroun sur études, projets et réalisations portant sur les énergies renouvelables, les NTICs, le Génie Civil, la vulgarisation et l'enseignement des sciences et techniques ; promotion du Cameroun en France et promotion de la France au Cameroun",40 bis,RUE,du Président Wilson,78230,Le Pecq,,40 bis rue du president wilson 78230 le pecq,Yvelines,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),ENVIRONNEMENT/  CADRE DE VIE,2.1123608,48.8945109,https://fr-fr.facebook.com/ENSPY/,https://www.helloasso.com/associations/nathum/collectes/soutien-medical-du-centre-de-sante-associatif-yaounde-cameroun
1416,1495174,W783002526,DRAMES DE LA ROUTE EN AFRIQUE,agir pour le bien-être des populations camerounaises dans les domaines de la création d'un complexe orphelinat et dispensaire avec bloc pour soins d'urgence ; de l'éducation des orphelins ; du secours aux victimes de la route et des soins généralistes pour la population ; de l'amélioration de la signalisation routière sur zones dangereuses ; de l'information des personnels aux gestes de premiers secours ; de dons de médicaments ; de la sensibilisation et de la lutte contre le sida et le paludisme ; de la prévention contre l'usage des stupéfiants et de l'alcool au volant,10,RUE,Charles Gounod,78000,Versailles,,10 rue charles gounod 78000 versailles,Yvelines,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),2.1570934,48.8111552,https://fr-fr.facebook.com/InvestigationsEnquetes/videos/les-drames-de-la-routes/464099171361391/,https://www.helloasso.com/associations/culture-voyages-solidarite/collectes/tournees-africoeur54-2015-2020
1417,1495779,W783003134,ASSOCIATION LE WAY,"soutenir les enfants défavorisés en Afrique, notamment au Cameroun, à travers des aides matérielles qui répondent aux besoins de première nécessité ; agir pour favoriser l'insertion sociale ainsi qu'une meilleure hygiène et qualité de vie ;accès aux soins médicaux et toute initiative pouvant favoriser l' accès aux études ; favoriser et organiser l'entraide, l'échange entre les adhérents et éventuellement avec d'autres structures ou associations, dans un esprit de convivialité et de solidarité",21,RUE,DE RICHELIEU,75001,Paris 1er,www.association-le-way.fr,21 rue de richelieu 75001 paris 1er,Paris,Île-de-France,ASSOCIATIONS CARITATIVES/ HUMANITAIRES/ AIDE AU DÉVELOPPEMENT/ DÉVELOPPEMENT DU BÉNÉVOLAT,AUTRES,2.3369676,48.8658889,https://www.facebook.com/Association-le-way-1380415552200565/,https://www.helloasso.com/associations/association-le-way
1418,1495967,W783003322,ASSOCIATION UNION EN CHRIST PAR SON ESPRIT,venir en aide à un centre d'accueil qui recueille et prendre en charge 20 enfants âgés de 3 à 9 ans de mbalmayo (cameroun),222,RUE,Ernest Jolly,78955,Carrières-sous-Poissy,,222 rue ernest jolly 78955 carrieres-sous-poissy,Yvelines,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.0322044,48.9413992,https://www.facebook.com/Vivre-avec-J%C3%A9sus-Christ-par-son-esprit-saint-114997616549922/,https://www.helloasso.com/associations/eglise-tous-unis-en-christ
1419,1496008,W783003365,"ASSOCIATION ""CHERES SOEURS"" DE LA DIASPORA DE L'ARRONDISSEMENT DE BANDJA (CSDAB)","mobiliser toutes les forces vives d'ici et d'ailleurs en vue des actions du développement dans le respect de nos différences physiques, religieuses, idéologiques mais en conformité avec les institutions. Obtenir l'adhésion massive de nos dirigeants et partenaires en leur présentant le bien-fondé de nos actions. Informer, éduquer, communiquer et mettre les groupes en réseau. Renforcer les capacités organisationnelles, institutionnelles et professionnelles des acteurs du développement en direction de Bandja en particulier et du département du Haut-Kam en général en République du Cameroun. Rechercher les sources de financement locales, extérieures d'information et d'appui technique dans le respect des lois nationales dûment promulgués et des conventions internationales ratifiées en France",1,RUE,Saint Saêns,78100,Saint-Germain-en-Laye,,1 rue saint saens 78100 saint-germain-en-laye,Yvelines,Île-de-France,ACTIVITÉS RELIGIEUSES/ SPIRITUELLES OU PHILOSOPHIQUES,AUTRES,2.0917742569617808,48.93560465,https://fr-fr.facebook.com/Borisbertolt1/posts/1196552034079366/,https://www.helloasso.com/associations/le-gout-des-autres-maison-providence
1420,1496709,W783004069,ASSOCIATION DES AMI(ES) SOLIDAIRES DE FRANCE (2AS),"rassembler les jeunes camerounais résidant en France ainsi que leurs sympathisants afin qu'ils puissent se retrouver dans une convivialité ; se porter mutuelle assistance et partager ensemble leurs valeurs culturelles du Cameroun, et aussi oeuvrer en vue d'en assurer le rayonnement",17,AV,DIDEROT,93420,Villepinte,,17 avenue diderot 93420 villepinte,Seine-Saint-Denis,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.5422933,48.9537004,https://fr-fr.facebook.com/2AS-Association-des-Amies-Solidaires-549424805189698/,https://www.helloasso.com/associations/solidaires
1421,1496738,W783004098,ASSOCIATION B&A,"venir en aide aux personnes défavorisées vivant au Cameroun ; elle vise subsidiairement et accessoirement la création, le maintien et le développement des liens entre ses membres à travers la participation régulière de ceux-ci à des thèmes de réflexion et d'échanges sur les différentes plateformes de l'association, et la mise en oeuvre d'actions sociales sus-évoquées",2,RTE,de Versailles,78560,Le    Port-Marly,,2 route de versailles 78560 le port-marly,Yvelines,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.1085876,48.8794979,https://www.facebook.com/AssociationB.A.79/,https://www.helloasso.com/%C2%A0
1422,1496867,W783004227,(ASSOBETI) ASSOCIATION DES BETIS,"organisation de soirées evénementielles ; animation avec des artistes, musicien, sonorisation, éclairage, vente de repas et boissons ; organisation des rencontres sportives, match de gala ; l'objectif est de récolter des fonds et venir en aide aux enfants pauvres du Cameroun en fournitures scolaires, médicaments vêtements",42 B,RUE,des Vignobles,78400,Chatou,,42 b rue des vignobles 78400 chatou,Yvelines,Île-de-France,AMICALES/ GROUPEMENTS AFFINITAIRES/ GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX),AUTRES,2.1541787,48.9030359,https://www.facebook.com/Association-dentraide-Beti-de-France-279892788849692/,https://www.helloasso.com/associations/association-les-amis-des-betes-spa-royan
